Hospital Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total Surgeries for All Cancer Types,National Cancer Institute Designation?
Citrus Valley Medical Center – Inter Community Campus,CA,Los Angeles,2017,0,2,11,20,0,0,1,1,1,1,3,40,No
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2013,3,8,45,16,0,0,1,0,67,4,2,146,No
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2014,0,10,34,18,0,0,4,0,93,4,2,165,No
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2015,2,9,41,18,0,1,1,0,57,3,7,139,No
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2016,5,8,29,23,0,0,0,0,71,12,3,151,No
Citrus Valley Medical Center – Queen of the Valley Campus,CA,Los Angeles,2017,5,8,37,26,0,1,4,2,96,4,1,184,No
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2013,40,45,437,56,9,56,40,9,398,26,29,1145,Yes
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2014,38,49,431,55,9,58,52,16,336,30,34,1108,Yes
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2015,28,48,332,29,2,67,48,18,167,35,25,799,Yes
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2016,42,88,517,65,17,101,60,21,211,45,30,1197,Yes
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2017,50,77,473,71,10,90,60,30,218,52,26,1157,Yes
Clovis Community Medical Center,CA,Fresno,2013,3,0,362,38,3,2,14,4,35,10,8,479,No
Clovis Community Medical Center,CA,Fresno,2014,3,0,334,41,2,1,6,3,27,12,9,438,No
Clovis Community Medical Center,CA,Fresno,2015,2,0,291,29,0,2,9,2,17,6,4,362,No
Clovis Community Medical Center,CA,Fresno,2016,3,0,337,38,2,2,3,1,42,17,3,448,No
Clovis Community Medical Center,CA,Fresno,2017,0,0,336,65,4,0,3,2,32,20,4,466,No
Coast Plaza Hospital,CA,Los Angeles,2013,0,0,0,2,0,0,0,0,0,1,1,4,No
Coast Plaza Hospital,CA,Los Angeles,2014,0,0,0,2,0,0,0,0,0,1,1,4,No
Coast Plaza Hospital,CA,Los Angeles,2015,0,0,3,1,0,0,0,0,0,0,0,4,No
Coast Plaza Hospital,CA,Los Angeles,2016,0,0,2,3,0,0,0,0,0,3,1,9,No
Coast Plaza Hospital,CA,Los Angeles,2017,0,0,4,5,0,0,0,0,0,2,0,11,No
Coastal Communities Hospital,CA,Orange,2013,0,0,40,4,0,0,0,0,0,2,1,47,No
Coastal Communities Hospital,CA,Orange,2014,0,0,26,3,0,0,0,0,1,1,0,31,No
College Medical Center,CA,Los Angeles,2013,0,0,3,5,0,0,1,0,0,0,0,9,No
College Medical Center,CA,Los Angeles,2014,0,0,1,3,0,0,0,0,0,0,1,5,No
College Medical Center,CA,Los Angeles,2015,0,0,2,0,0,0,1,0,0,1,0,4,No
College Medical Center,CA,Los Angeles,2016,0,0,2,2,0,0,0,0,0,0,0,4,No
College Medical Center,CA,Los Angeles,2017,1,0,0,5,0,0,0,0,1,1,0,8,No
Colorado River Medical Center,CA,San Bernardino,2016,0,0,1,0,0,0,0,0,0,1,0,2,No
Colusa Regional Medical Center,CA,Colusa,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
Community Hospital Long Beach,CA,Los Angeles,2013,0,0,0,2,0,0,0,0,0,1,1,4,No
Community Hospital Long Beach,CA,Los Angeles,2014,0,0,1,1,0,0,0,0,0,0,0,2,No
Community Hospital Long Beach,CA,Los Angeles,2015,0,0,2,3,0,0,0,0,0,0,0,5,No
Community Hospital Long Beach,CA,Los Angeles,2016,0,0,0,3,0,0,0,1,1,0,1,6,No
Community Hospital Long Beach,CA,Los Angeles,2017,0,0,1,2,0,1,0,0,0,1,0,5,No
Community Hospital of San Bernardino,CA,San Bernardino,2013,0,0,29,6,0,0,0,0,0,2,1,38,No
Community Hospital of San Bernardino,CA,San Bernardino,2014,0,0,30,7,0,1,0,0,0,5,0,43,No
Community Hospital of San Bernardino,CA,San Bernardino,2015,0,0,19,8,0,0,0,0,0,1,1,29,No
Community Hospital of San Bernardino,CA,San Bernardino,2016,0,0,23,5,0,0,0,0,0,4,1,33,No
Community Hospital of San Bernardino,CA,San Bernardino,2017,0,0,15,5,0,1,0,0,0,3,1,25,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2013,0,14,68,39,0,1,20,3,1,15,7,168,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2014,0,9,84,22,2,0,28,7,1,14,4,171,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2015,0,9,66,27,0,3,18,4,1,7,6,141,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2016,1,11,70,34,1,8,12,3,9,19,6,174,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2017,1,19,55,47,2,3,13,4,6,24,5,179,No
Community Memorial Hospital – San Buenaventura,CA,Ventura,2013,0,7,179,36,0,0,10,0,52,8,3,295,No
Community Memorial Hospital – San Buenaventura,CA,Ventura,2014,3,7,149,43,0,4,8,0,40,8,1,263,No
Community Memorial Hospital – San Buenaventura,CA,Ventura,2015,0,8,100,33,0,0,5,1,41,6,1,195,No
Community Memorial Hospital – San Buenaventura,CA,Ventura,2016,2,10,142,31,0,2,8,0,59,18,2,274,No
Community Memorial Hospital – San Buenaventura,CA,Ventura,2017,4,9,160,41,0,1,18,2,69,17,1,322,No
Community Regional Medical Center – Fresno,CA,Fresno,2013,1,37,47,28,0,22,11,17,50,14,9,236,No
Community Regional Medical Center – Fresno,CA,Fresno,2014,3,48,49,29,0,18,9,20,45,13,2,236,No
Community Regional Medical Center – Fresno,CA,Fresno,2015,0,68,40,23,0,5,8,3,34,4,3,188,No
Community Regional Medical Center – Fresno,CA,Fresno,2016,0,69,63,76,1,12,44,12,34,37,10,358,No
Community Regional Medical Center – Fresno,CA,Fresno,2017,0,71,70,49,3,8,46,6,29,22,7,311,No
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2013,0,0,3,3,0,0,0,0,0,0,2,8,No
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2014,0,0,2,3,0,0,0,0,0,0,1,6,No
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2015,0,0,2,0,0,0,0,0,0,0,0,2,No
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2016,0,0,2,2,0,0,0,0,2,2,0,8,No
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2017,0,0,2,1,0,0,0,0,0,1,0,4,No
Contra Costa Regional Medical Center,CA,Contra Costa,2013,0,0,77,18,0,0,0,0,0,3,1,99,No
Contra Costa Regional Medical Center,CA,Contra Costa,2014,0,0,68,18,0,0,0,0,0,10,0,96,No
Contra Costa Regional Medical Center,CA,Contra Costa,2015,0,0,34,15,0,0,0,0,0,4,2,55,No
Contra Costa Regional Medical Center,CA,Contra Costa,2016,0,0,52,14,0,0,0,0,1,9,5,81,No
Contra Costa Regional Medical Center,CA,Contra Costa,2017,0,0,46,21,0,2,0,1,1,4,3,78,No
Corona Regional Medical Center – Main,CA,Riverside,2013,0,0,38,6,0,1,0,0,1,5,1,52,No
Corona Regional Medical Center – Main,CA,Riverside,2014,0,0,37,9,0,0,0,0,0,3,1,50,No
Corona Regional Medical Center – Main,CA,Riverside,2015,0,1,37,7,0,0,1,1,0,0,1,48,No
Corona Regional Medical Center – Main,CA,Riverside,2016,0,0,61,13,0,0,0,1,0,2,0,77,No
Corona Regional Medical Center – Main,CA,Riverside,2017,0,0,67,20,0,2,0,0,0,7,1,97,No
Dameron Hospital,CA,San Joaquin,2013,0,0,6,11,0,0,0,0,0,1,1,19,No
Dameron Hospital,CA,San Joaquin,2014,0,0,6,8,0,0,3,0,0,2,1,20,No
Dameron Hospital,CA,San Joaquin,2015,0,0,2,7,0,0,0,0,0,0,0,9,No
Dameron Hospital,CA,San Joaquin,2016,0,0,4,5,0,0,2,1,0,0,0,12,No
Dameron Hospital,CA,San Joaquin,2017,0,0,1,7,0,1,0,2,0,5,0,16,No
Delano Regional Medical Center,CA,Kern,2013,0,0,7,4,0,0,0,0,0,3,1,15,No
Delano Regional Medical Center,CA,Kern,2014,0,0,2,7,0,0,0,0,0,1,2,12,No
Delano Regional Medical Center,CA,Kern,2015,0,0,7,2,0,0,0,0,0,1,0,10,No
Delano Regional Medical Center,CA,Kern,2016,0,0,7,6,0,0,0,0,0,1,2,16,No
Delano Regional Medical Center,CA,Kern,2017,0,0,10,5,0,0,0,0,1,0,0,16,No
Desert Regional Medical Center,CA,Riverside,2013,0,24,87,23,1,4,28,2,0,8,3,180,No
Desert Regional Medical Center,CA,Riverside,2014,0,23,105,30,2,0,39,2,0,22,8,231,No
Desert Regional Medical Center,CA,Riverside,2015,0,16,92,40,1,2,26,0,3,16,6,202,No
Desert Regional Medical Center,CA,Riverside,2016,0,27,149,36,2,4,31,1,23,25,6,304,No
Desert Regional Medical Center,CA,Riverside,2017,0,30,178,35,3,3,21,0,11,17,2,300,No
Desert Valley Hospital,CA,San Bernardino,2013,0,0,13,14,0,0,1,0,14,2,0,44,No
Desert Valley Hospital,CA,San Bernardino,2014,0,0,6,11,0,0,3,0,26,1,0,47,No
Desert Valley Hospital,CA,San Bernardino,2015,1,0,3,5,0,0,1,0,25,1,0,36,No
Desert Valley Hospital,CA,San Bernardino,2016,2,0,10,5,0,1,2,0,30,2,1,53,No
Desert Valley Hospital,CA,San Bernardino,2017,4,0,4,3,0,0,3,0,40,3,0,57,No
Doctors Hospital of Manteca,CA,San Joaquin,2013,0,0,32,5,0,0,0,0,0,0,0,37,No
Doctors Hospital of Manteca,CA,San Joaquin,2014,0,0,43,17,0,0,0,0,0,3,0,63,No
Doctors Hospital of Manteca,CA,San Joaquin,2015,0,0,34,9,0,0,0,0,0,0,0,43,No
Doctors Hospital of Manteca,CA,San Joaquin,2016,0,0,43,9,0,0,1,0,0,0,0,53,No
Doctors Hospital of Manteca,CA,San Joaquin,2017,0,0,34,9,0,0,0,0,0,0,0,43,No
Doctors Medical Center,CA,Stanislaus,2013,3,19,154,36,1,0,15,2,26,9,4,269,No
Doctors Medical Center,CA,Stanislaus,2014,3,13,157,45,0,0,18,3,13,10,6,268,No
Doctors Medical Center,CA,Stanislaus,2015,1,18,116,26,0,0,11,3,27,5,1,208,No
Doctors Medical Center,CA,Stanislaus,2016,3,21,145,46,0,4,10,4,41,13,3,290,No
Doctors Medical Center,CA,Stanislaus,2017,2,14,163,42,0,4,14,6,35,22,4,306,No
Doctors Medical Center – San Pablo,CA,Contra Costa,2013,1,0,17,11,0,0,0,0,1,6,2,38,No
Doctors Medical Center – San Pablo,CA,Contra Costa,2014,0,0,12,11,0,0,0,0,0,1,0,24,No
Doctors Medical Center – San Pablo,CA,Contra Costa,2015,0,0,1,0,0,0,0,0,0,1,0,2,No
Dominican Hospital,CA,Santa Cruz,2013,0,24,49,21,0,0,6,0,15,9,1,125,No
Dominican Hospital,CA,Santa Cruz,2014,3,28,51,28,1,2,4,0,8,10,1,136,No
Dominican Hospital,CA,Santa Cruz,2015,2,18,35,16,0,0,13,0,4,2,1,91,No
Dominican Hospital,CA,Santa Cruz,2016,6,28,52,36,0,1,11,0,11,16,0,161,No
Dominican Hospital,CA,Santa Cruz,2017,6,16,41,19,0,2,17,0,21,6,1,129,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2013,0,0,1,4,0,0,0,0,0,0,0,5,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2014,1,0,2,1,0,0,0,0,0,0,0,4,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2015,0,0,5,1,0,0,0,0,0,0,1,7,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2016,0,0,2,2,0,0,0,0,1,1,0,6,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2017,0,0,0,2,0,0,0,0,0,4,0,6,No
Eden Medical Center,CA,Alameda,2013,1,27,54,13,0,1,10,1,3,3,1,114,No
Eden Medical Center,CA,Alameda,2014,1,21,40,22,0,0,5,0,1,2,0,92,No
Eden Medical Center,CA,Alameda,2015,3,13,40,14,2,0,1,0,0,2,1,76,No
Eden Medical Center,CA,Alameda,2016,0,35,61,24,0,3,4,0,1,7,2,137,No
Eden Medical Center,CA,Alameda,2017,3,36,67,22,0,2,3,1,2,10,2,148,No
Eisenhower Medical Center,CA,Riverside,2013,4,15,138,79,0,4,36,5,80,32,5,398,No
Eisenhower Medical Center,CA,Riverside,2014,0,16,132,85,1,0,59,0,62,30,3,388,No
Eisenhower Medical Center,CA,Riverside,2015,2,13,105,56,0,1,38,0,45,18,6,284,No
Eisenhower Medical Center,CA,Riverside,2016,6,15,159,86,1,4,46,1,75,42,3,438,No
Eisenhower Medical Center,CA,Riverside,2017,5,12,161,84,0,3,45,1,74,32,5,422,No
El Camino Hospital,CA,Santa Clara,2013,4,14,115,66,0,13,23,15,58,17,9,334,No
El Camino Hospital,CA,Santa Clara,2014,5,12,119,67,0,6,25,4,43,18,5,304,No
El Camino Hospital,CA,Santa Clara,2015,4,8,84,48,1,3,30,7,53,11,4,253,No
El Camino Hospital,CA,Santa Clara,2016,9,11,115,65,1,7,27,6,83,14,9,347,No
El Camino Hospital,CA,Santa Clara,2017,6,9,131,66,0,7,37,7,101,13,5,382,No
El Centro Regional Medical Center,CA,Imperial,2013,1,1,18,14,0,0,4,0,18,0,0,56,No
El Centro Regional Medical Center,CA,Imperial,2014,0,0,19,16,0,0,0,0,31,1,1,68,No
El Centro Regional Medical Center,CA,Imperial,2015,1,0,8,7,0,0,0,0,27,1,1,45,No
El Centro Regional Medical Center,CA,Imperial,2016,0,0,21,8,0,1,0,0,16,2,0,48,No
El Centro Regional Medical Center,CA,Imperial,2017,0,0,14,6,0,0,0,0,6,3,1,30,No
Emanuel Medical Center,CA,Stanislaus,2013,0,0,28,20,0,1,0,0,0,3,0,52,No
Emanuel Medical Center,CA,Stanislaus,2014,0,0,10,14,0,1,1,0,0,3,1,30,No
Emanuel Medical Center,CA,Stanislaus,2015,0,0,19,16,0,0,2,0,0,8,1,46,No
Emanuel Medical Center,CA,Stanislaus,2016,1,0,34,25,0,1,0,1,0,10,0,72,No
Emanuel Medical Center,CA,Stanislaus,2017,0,0,46,26,0,3,0,1,1,17,1,95,No
Encino Hospital Medical Center,CA,Los Angeles,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
Encino Hospital Medical Center,CA,Los Angeles,2014,0,0,1,1,0,0,0,0,0,0,0,2,No
Encino Hospital Medical Center,CA,Los Angeles,2015,0,0,0,1,0,0,0,0,0,0,0,1,No
Encino Hospital Medical Center,CA,Los Angeles,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Encino Hospital Medical Center,CA,Los Angeles,2017,0,0,1,0,0,0,0,0,0,0,1,2,No
Enloe Medical Center – Esplanade,CA,Butte,2013,4,6,158,41,0,0,14,0,10,7,1,241,No
Enloe Medical Center – Esplanade,CA,Butte,2014,1,9,163,36,0,0,22,0,9,23,0,263,No
Enloe Medical Center – Esplanade,CA,Butte,2015,2,6,99,22,0,0,22,0,6,13,1,171,No
Enloe Medical Center – Esplanade,CA,Butte,2016,3,9,221,41,0,1,18,1,12,25,2,333,No
Enloe Medical Center – Esplanade,CA,Butte,2017,1,10,170,45,0,1,7,0,13,24,3,274,No
Fairchild Medical Center,CA,Siskiyou,2013,0,0,19,8,0,0,0,0,0,0,0,27,No
Fairchild Medical Center,CA,Siskiyou,2014,0,0,12,9,0,0,0,0,0,0,0,21,No
Fairchild Medical Center,CA,Siskiyou,2015,0,0,8,8,0,0,0,0,0,0,0,16,No
Fairchild Medical Center,CA,Siskiyou,2016,0,0,15,7,0,0,0,0,0,1,0,23,No
Fairchild Medical Center,CA,Siskiyou,2017,0,0,13,5,0,0,0,0,0,0,0,18,No
Fallbrook Hospital District,CA,San Diego,2013,0,0,16,2,0,0,0,0,0,0,0,18,No
Fallbrook Hospital District,CA,San Diego,2014,0,0,10,1,0,0,0,0,0,0,0,11,No
Feather River Hospital,CA,Butte,2013,0,0,48,14,0,0,4,0,0,3,0,69,No
Feather River Hospital,CA,Butte,2014,0,0,59,17,0,0,2,0,0,3,0,81,No
Feather River Hospital,CA,Butte,2015,0,0,58,9,0,0,4,0,0,4,0,75,No
Feather River Hospital,CA,Butte,2016,0,0,62,13,0,0,2,0,1,3,0,81,No
Feather River Hospital,CA,Butte,2017,1,0,63,13,0,1,7,1,0,5,0,91,No
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2013,0,3,54,14,0,0,2,0,0,2,1,76,No
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2014,0,2,32,17,0,0,3,0,0,2,0,56,No
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2015,0,3,16,9,0,0,1,0,0,0,0,29,No
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2016,0,3,23,15,0,0,0,0,3,5,0,49,No
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2017,1,3,28,20,0,3,1,0,39,6,0,101,No
Foothill Regional Medical Center,CA,Orange,2016,0,0,1,1,0,0,1,1,0,1,0,5,No
Foothill Regional Medical Center,CA,Orange,2017,0,0,0,6,0,0,0,0,0,2,0,8,No
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2013,3,10,84,40,0,13,12,3,12,13,3,193,No
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2014,4,10,90,43,1,13,23,7,5,28,10,234,No
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2015,4,7,59,34,0,14,12,2,8,12,8,160,No
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2016,0,8,89,42,1,19,16,8,14,25,9,231,No
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2017,0,6,84,47,2,19,31,13,1,28,11,242,No
Frank R. Howard Memorial Hospital,CA,Mendocino,2013,0,0,1,0,0,0,0,0,0,0,0,1,No
Frank R. Howard Memorial Hospital,CA,Mendocino,2014,0,0,0,3,0,0,0,0,0,1,0,4,No
Frank R. Howard Memorial Hospital,CA,Mendocino,2015,0,0,0,5,0,0,0,0,0,0,0,5,No
French Hospital Medical Center,CA,San Luis Obispo,2013,1,0,26,8,0,0,4,1,15,3,1,59,No
French Hospital Medical Center,CA,San Luis Obispo,2014,0,0,9,9,0,0,7,0,19,1,0,45,No
French Hospital Medical Center,CA,San Luis Obispo,2015,1,0,9,13,0,0,1,1,13,0,0,38,No
French Hospital Medical Center,CA,San Luis Obispo,2016,0,0,16,14,0,0,0,0,16,1,1,48,No
French Hospital Medical Center,CA,San Luis Obispo,2017,0,0,10,10,1,0,3,0,7,1,0,32,No
Fresno Heart and Surgical Hospital,CA,Fresno,2013,0,0,0,24,0,3,18,2,0,16,3,66,No
Fresno Heart and Surgical Hospital,CA,Fresno,2014,0,0,0,27,1,0,40,3,0,9,1,81,No
Fresno Heart and Surgical Hospital,CA,Fresno,2015,0,0,0,16,0,0,23,1,0,5,1,46,No
Fresno Surgical Hospital,CA,Fresno,2013,0,0,38,0,0,0,0,0,8,0,0,46,No
Fresno Surgical Hospital,CA,Fresno,2014,0,0,100,0,0,0,0,0,7,0,0,107,No
Fresno Surgical Hospital,CA,Fresno,2015,0,0,66,0,0,0,0,0,7,0,0,73,No
Fresno Surgical Hospital,CA,Fresno,2016,0,0,77,0,0,0,0,0,2,0,0,79,No
Fresno Surgical Hospital,CA,Fresno,2017,0,0,75,0,0,0,0,0,4,0,0,79,No
Garden Grove Hospital and Medical Center,CA,Orange,2013,0,1,2,10,0,0,0,0,0,1,3,17,No
Garden Grove Hospital and Medical Center,CA,Orange,2014,0,1,3,5,0,0,0,0,0,2,1,12,No
Garden Grove Hospital and Medical Center,CA,Orange,2015,0,0,0,0,0,0,0,0,0,1,2,3,No
Garden Grove Hospital and Medical Center,CA,Orange,2016,0,0,2,4,0,0,0,0,0,0,0,6,No
Garden Grove Hospital and Medical Center,CA,Orange,2017,0,0,4,6,0,0,0,0,1,3,1,15,No
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2013,0,0,4,4,0,0,0,1,2,0,0,11,No
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2014,0,0,11,4,0,0,0,0,0,1,1,17,No
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2015,0,0,3,1,0,0,0,0,0,2,0,6,No
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2016,0,0,1,3,0,0,0,0,0,4,0,8,No
Garfield Medical Center,CA,Los Angeles,2013,1,7,48,33,0,1,19,0,7,5,6,127,No
Garfield Medical Center,CA,Los Angeles,2014,0,5,57,24,0,0,17,0,5,11,6,125,No
Garfield Medical Center,CA,Los Angeles,2015,0,8,46,13,0,0,19,0,2,8,2,98,No
Garfield Medical Center,CA,Los Angeles,2016,0,11,88,36,2,1,25,0,3,12,6,184,No
Garfield Medical Center,CA,Los Angeles,2017,0,16,102,35,3,1,33,5,30,15,15,255,No
George L. Mee Memorial Hospital,CA,Monterey,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
Glendale Adventist Medical Center,CA,Los Angeles,2013,1,11,77,26,1,1,4,3,19,8,4,155,No
Glendale Adventist Medical Center,CA,Los Angeles,2014,3,11,74,37,1,1,7,4,11,8,5,162,No
Glendale Adventist Medical Center,CA,Los Angeles,2015,3,3,64,29,2,0,8,7,15,14,3,148,No
Glendale Adventist Medical Center,CA,Los Angeles,2016,5,21,98,37,1,3,8,5,19,19,9,225,No
Glendale Adventist Medical Center,CA,Los Angeles,2017,1,23,119,42,1,9,8,4,17,16,5,245,No
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2013,0,3,59,31,0,0,13,0,1,21,3,131,No
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2014,0,2,39,38,0,0,18,0,0,26,5,128,No
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2015,1,2,19,28,0,0,8,0,1,15,0,74,No
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2016,1,2,32,43,0,3,17,0,1,16,6,121,No
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2017,1,3,35,28,0,0,21,0,4,18,1,111,No
Glendora Community Hospital,CA,Los Angeles,2013,0,0,1,1,0,0,0,0,0,0,0,2,No
Glendora Community Hospital,CA,Los Angeles,2014,0,0,1,1,0,0,0,0,0,0,0,2,No
Glendora Community Hospital,CA,Los Angeles,2015,0,0,0,1,0,0,0,0,0,0,0,1,No
Glendora Community Hospital,CA,Los Angeles,2017,0,0,1,1,0,0,0,0,0,0,1,3,No
Goleta Valley Cottage Hospital,CA,Santa Barbara,2013,0,0,25,0,0,0,0,0,0,0,0,25,No
Goleta Valley Cottage Hospital,CA,Santa Barbara,2014,0,0,14,0,0,0,0,0,0,0,0,14,No
Goleta Valley Cottage Hospital,CA,Santa Barbara,2015,0,0,12,0,0,0,0,0,0,0,0,12,No
Goleta Valley Cottage Hospital,CA,Santa Barbara,2016,0,0,27,0,0,0,0,0,1,0,0,28,No
Goleta Valley Cottage Hospital,CA,Santa Barbara,2017,0,0,12,0,0,0,0,0,0,0,0,12,No
Good Samaritan Hospital – Bakersfield,CA,Kern,2013,0,0,0,0,0,0,0,0,1,0,0,1,No
Good Samaritan Hospital – Bakersfield,CA,Kern,2015,0,0,1,0,0,0,0,0,1,0,0,2,No
Good Samaritan Hospital – Bakersfield,CA,Kern,2016,0,0,1,1,0,0,0,0,0,0,0,2,No
Good Samaritan Hospital – Bakersfield,CA,Kern,2017,0,0,1,0,0,0,0,0,3,0,0,4,No
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2013,0,8,32,14,0,12,5,8,1,5,5,90,No
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2014,0,6,21,20,0,15,5,4,2,6,11,90,No
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2015,0,6,20,18,0,6,4,4,0,0,2,60,No
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2016,1,7,28,18,0,12,6,8,3,15,9,107,No
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2017,0,7,26,16,0,8,6,6,2,5,11,87,No
Good Samaritan Hospital – San Jose,CA,Santa Clara,2013,0,21,174,44,1,2,11,1,36,12,5,307,No
Good Samaritan Hospital – San Jose,CA,Santa Clara,2014,1,20,167,45,0,3,22,1,20,8,2,289,No
Good Samaritan Hospital – San Jose,CA,Santa Clara,2015,0,6,139,33,4,3,16,1,17,7,4,230,No
Good Samaritan Hospital – San Jose,CA,Santa Clara,2016,1,19,177,47,1,2,27,6,3,17,2,302,No
Good Samaritan Hospital – San Jose,CA,Santa Clara,2017,0,17,179,61,0,5,25,9,30,16,3,345,No
Greater El Monte Community Hospital,CA,Los Angeles,2013,0,0,3,1,0,0,0,0,0,1,0,5,No
Greater El Monte Community Hospital,CA,Los Angeles,2014,0,0,1,3,0,0,0,0,0,0,0,4,No
Greater El Monte Community Hospital,CA,Los Angeles,2015,0,0,0,1,0,0,0,0,0,1,0,2,No
Greater El Monte Community Hospital,CA,Los Angeles,2016,0,0,0,1,0,0,0,0,1,1,0,3,No
Greater El Monte Community Hospital,CA,Los Angeles,2017,0,0,2,1,0,0,0,0,1,0,0,4,No
Grossmont Hospital,CA,San Diego,2013,1,18,96,53,2,0,28,0,18,9,7,232,No
Grossmont Hospital,CA,San Diego,2014,0,23,108,61,0,1,20,2,12,6,2,235,No
Grossmont Hospital,CA,San Diego,2015,1,15,59,36,0,2,17,1,11,10,1,153,No
Grossmont Hospital,CA,San Diego,2016,2,24,91,50,1,1,17,6,20,13,3,228,No
Grossmont Hospital,CA,San Diego,2017,2,19,105,53,3,2,16,13,9,10,2,234,No
Hazel Hawkins Memorial Hospital,CA,San Benito,2013,0,0,8,4,0,0,0,0,0,1,0,13,No
Hazel Hawkins Memorial Hospital,CA,San Benito,2014,0,0,14,8,0,0,0,0,0,0,0,22,No
Hazel Hawkins Memorial Hospital,CA,San Benito,2015,0,0,6,5,0,0,0,0,0,0,0,11,No
Hazel Hawkins Memorial Hospital,CA,San Benito,2016,0,0,14,6,0,0,0,0,0,0,0,20,No
Hazel Hawkins Memorial Hospital,CA,San Benito,2017,0,0,13,1,0,0,0,0,1,0,0,15,No
Healdsburg District Hospital,CA,Sonoma,2014,0,0,1,2,0,0,0,0,0,0,0,3,No
Healdsburg District Hospital,CA,Sonoma,2015,0,0,0,2,0,0,0,0,0,0,0,2,No
Hemet Valley Medical Center,CA,Riverside,2013,4,0,50,13,0,0,0,0,9,10,0,86,No
Hemet Valley Medical Center,CA,Riverside,2014,1,0,40,27,0,0,0,0,23,4,1,96,No
Hemet Valley Medical Center,CA,Riverside,2015,0,0,35,26,0,0,0,0,14,5,0,80,No
Hemet Valley Medical Center,CA,Riverside,2016,1,0,46,28,0,1,0,0,23,3,1,103,No
Hemet Valley Medical Center,CA,Riverside,2017,1,0,26,16,0,3,0,2,14,7,0,69,No
Henry Mayo Newhall Hospital,CA,Los Angeles,2013,0,1,65,19,0,0,2,0,0,4,1,92,No
Henry Mayo Newhall Hospital,CA,Los Angeles,2014,0,4,22,12,0,0,4,0,0,4,0,46,No
Henry Mayo Newhall Hospital,CA,Los Angeles,2015,0,9,29,6,0,0,1,0,0,1,0,46,No
Henry Mayo Newhall Hospital,CA,Los Angeles,2016,1,12,9,8,1,3,4,0,3,5,1,47,No
Henry Mayo Newhall Hospital,CA,Los Angeles,2017,1,13,26,13,1,1,8,0,11,4,2,80,No
Hi-Desert Medical Center,CA,San Bernardino,2013,0,0,2,7,0,0,0,0,0,0,0,9,No
