Hospital.Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total.Surgeries.for.All.Cancer.Types,National.Cancer.Institute.Designation.
Oroville Hospital,CA,Butte,2017,1,0,26,17,0,0,0,0,51,7,1,103,No
Pacific Alliance Medical Center,CA,Los Angeles,2017,0,0,8,7,0,1,0,0,0,0,1,17,No
Pacifica Hospital of the Valley,CA,Los Angeles,2017,0,0,6,1,0,0,0,0,0,0,0,7,No
Palm Drive Hospital,CA,Sonoma,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Palmdale Regional Medical Center,CA,Los Angeles,2017,0,4,19,31,0,1,2,0,11,8,0,76,No
Palo Verde Hospital,CA,Riverside,2017,0,0,1,1,0,0,0,0,0,1,0,3,No
Palomar Health Downtown Campus,CA,San Diego,2017,23,22,152,49,2,2,10,1,163,6,6,436,No
Paoli,PA,Chester,2018,7,2,155,33,0,0,25,0,55,2,0,279,No
Paradise Valley Hospital,CA,San Diego,2017,0,1,2,3,0,0,0,0,1,1,0,8,No
Parkview Community Hospital Medical Center,CA,Riverside,2017,0,0,45,14,0,1,0,1,2,2,0,65,No
Patientsí Hospital of Redding,CA,Shasta,2017,0,0,79,0,0,0,0,0,0,0,0,79,No
Peninsula Medical Center,CA,San Mateo,2017,4,3,271,34,8,4,17,10,11,19,4,385,No
Penn Highlands Brookville,PA,Jefferson,2018,0,0,1,1,0,0,0,0,0,0,0,2,No
Penn Highlands Clearfield,PA,Clearfield,2018,0,0,8,3,0,0,0,0,0,0,0,11,No
Penn Highlands DuBois,PA,Clearfield,2018,2,0,99,32,1,2,40,0,9,3,1,189,No
Penn Highlands Elk,PA,Elk,2018,0,0,3,1,0,0,0,0,1,0,0,5,No
Penn Presbyterian,PA,Philadelphia,2018,2,8,0,36,3,1,100,0,313,9,8,480,No
Pennsylvania,PA,Philadelphia,2018,2,37,448,51,6,6,0,6,16,20,7,599,No
Petaluma Valley Hospital,CA,Sonoma,2017,0,0,4,2,0,0,0,0,0,5,1,12,No
Phoenixville,PA,Chester,2018,2,1,112,19,0,0,11,0,32,1,1,179,No
PIH Hospital Downey,CA,Los Angeles,2017,1,2,48,13,0,0,4,0,1,3,5,77,No
Pioneers Memorial Healthcare District,CA,Imperial,2017,0,5,21,11,0,0,0,0,0,0,0,37,No
Placentia Linda Hospital,CA,Orange,2017,0,0,45,8,0,0,1,1,5,7,1,68,No
Plumas District Hospital,CA,Plumas,2017,0,0,2,2,0,0,0,0,0,0,0,4,No
Pomerado Hospital,CA,San Diego,2017,0,0,46,10,0,0,0,0,1,4,0,61,No
Pomona Valley Hospital Medical Center,CA,Los Angeles,2017,0,11,162,37,0,2,3,4,12,10,4,245,No
Pottstown,PA,Montgomery,2018,4,2,4,8,0,0,0,0,0,0,0,18,No
Presbyterian Intercommunity Hospital,CA,Los Angeles,2017,5,8,155,46,1,4,27,1,11,21,8,287,No
Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,CA,San Francisco,2017,6,7,53,23,0,1,4,1,1,11,5,112,No
Promise Hospital of East Los Angeles East Los Angeles Campus,CA,Los Angeles,2017,0,0,1,2,0,0,0,0,0,0,0,3,No
Providence Holy Cross Medical Center,CA,Los Angeles,2017,1,19,83,47,2,16,18,5,36,19,7,253,No
Providence Little Company of Mary Medical Center San Pedro,CA,Los Angeles,2017,0,0,26,11,0,2,0,0,1,2,0,42,No
Providence Little Company of Mary Medical Center Torrance,CA,Los Angeles,2017,1,12,181,43,0,5,10,3,35,18,3,311,No
Providence Saint Johnís Health Center,CA,Los Angeles,2017,3,79,162,34,4,11,122,7,113,21,8,564,No
Providence Saint Joseph Medical Center,CA,Los Angeles,2017,5,10,180,50,1,2,29,4,53,17,8,359,No
Providence Tarzana Medical Center,CA,Los Angeles,2017,1,5,138,40,1,0,12,1,42,21,5,266,No
Punxsutawney Area,PA,Jefferson,2018,0,0,6,5,0,0,0,0,1,1,0,13,No
Queen of the Valley Medical Center,CA,Napa,2017,0,1,45,12,0,1,9,0,12,2,2,84,No
Reading,PA,Berks,2018,29,13,192,69,2,0,36,7,56,7,4,415,No
Redlands Community Hospital,CA,San Bernardino,2017,1,4,79,26,0,3,1,0,12,8,5,139,No
Redwood Memorial Hospital,CA,Humboldt,2017,0,0,15,9,0,0,0,0,0,2,0,26,No
Regional Medical of San Jose,CA,Santa Clara,2017,0,6,26,20,0,2,9,0,3,13,6,85,No
Regional Scranton,PA,Lackawanna,2018,15,0,31,12,0,0,30,0,41,2,0,131,No
Riddle Memorial,PA,Delaware,2018,8,0,90,28,0,0,0,0,2,5,0,133,No
Rideout Memorial Hospital,CA,Yuba,2017,1,2,25,17,0,4,16,0,8,8,1,82,No
Ridgecrest Regional Hospital,CA,Kern,2017,0,0,8,2,0,0,0,0,0,1,0,11,No
Riverside Community Hospital,CA,Riverside,2017,1,13,180,69,7,8,15,19,32,23,7,374,No
Riverside County Regional Medical Center,CA,Riverside,2015,3,8,32,14,0,2,5,1,8,5,0,78,No
Riverside University Health System ñ Medical Center,CA,Riverside,2017,4,11,40,17,1,1,5,0,8,12,4,103,No
Robert Packer,PA,Bradford,2018,4,4,124,46,7,3,44,5,44,15,5,301,No
Ronald Reagan UCLA Medical Center,CA,Los Angeles,2017,28,121,332,71,20,39,86,62,125,43,18,945,Yes
Roxborough Memorial,PA,Philadelphia,2018,2,0,1,1,0,0,1,0,0,0,0,5,No
Saddleback Memorial Medical Center,CA,Orange,2017,3,23,165,33,0,0,21,0,41,6,2,294,No
Saint Agnes Medical Center,CA,Fresno,2017,1,3,155,40,3,2,16,3,56,17,4,300,No
Saint Bernardine Medical Center,CA,San Bernardino,2017,7,11,83,26,0,3,7,1,125,9,3,275,No
Saint Elizabeth Community Hospital,CA,Tehama,2017,0,0,6,7,0,1,0,0,0,0,0,14,No
Saint Francis Medical Center,CA,Los Angeles,2017,2,4,47,21,0,0,3,1,5,4,0,87,No
Saint Francis Memorial Hospital,CA,San Francisco,2017,0,2,5,7,0,0,0,0,1,2,1,18,No
Saint Helena Hospital,CA,Napa,2017,0,0,12,12,3,3,16,0,0,9,1,56,No
Saint Helena Hospital ñ Clearlake,CA,Lake,2017,0,0,2,2,0,0,0,0,0,0,0,4,No
Saint Johnís Health Center,CA,Los Angeles,2014,3,63,160,54,2,18,24,9,16,9,10,368,No
Saint Johnís Pleasant Valley Hospital,CA,Ventura,2017,0,0,41,13,0,0,0,1,0,2,0,57,No
Saint Johnís Regional Medical Center,CA,Ventura,2017,2,5,84,29,0,1,22,0,14,15,1,173,No
Saint Joseph Hospital Eureka,CA,Humboldt,2017,3,0,73,24,0,3,10,4,11,9,2,139,No
Saint Joseph Hospital Orange,CA,Orange,2017,0,26,273,46,1,8,52,17,53,26,9,511,No
Saint Josephís Medical Center of Stockton,CA,San Joaquin,2017,8,0,86,39,4,5,22,1,7,23,8,203,No
Saint Jude Medical Center,CA,Orange,2017,0,35,230,47,0,6,9,3,54,19,1,404,No
Saint Louise Regional Hospital,CA,Santa Clara,2017,0,0,27,8,0,0,0,0,2,7,1,45,No
Saint Mary Medical Center Apple Valley,CA,San Bernardino,2017,2,0,49,25,0,1,4,0,16,9,2,108,No
Saint Mary Medical Center Long Beach,CA,Los Angeles,2017,2,4,19,7,0,0,1,2,3,4,2,44,No
"Saint Maryís Medical Center, San Francisco",CA,San Francisco,2017,1,0,78,6,0,1,4,0,1,4,2,97,No
Saint Rose Hospital,CA,Alameda,2017,0,0,13,7,0,1,0,0,1,6,3,31,No
Saint Vincent,PA,Erie,2018,11,6,93,49,0,2,24,1,26,16,3,231,No
Saint Vincent Medical Center,CA,Los Angeles,2017,3,7,98,25,2,10,10,3,12,10,8,188,No
Salinas Valley Memorial Hospital,CA,Monterey,2017,0,9,58,32,0,3,7,3,0,10,11,133,No
San Antonio Regional Hospital,CA,San Bernardino,2017,0,14,122,55,0,2,17,0,21,17,6,254,No
San Dimas Community Hospital,CA,Los Angeles,2017,0,0,30,10,0,0,0,0,1,2,1,44,No
San Francisco General Hospital,CA,San Francisco,2015,0,6,44,20,0,0,5,2,0,2,1,80,No
San Gabriel Valley Medical Center,CA,Los Angeles,2016,0,2,54,12,0,1,2,0,0,9,3,83,No
San Gorgonio Memorial Hospital,CA,Riverside,2017,0,0,10,5,0,0,0,0,0,1,0,16,No
San Joaquin Community Hospital,CA,Kern,2017,0,12,160,42,0,1,7,1,25,11,3,262,No
San Joaquin General Hospital,CA,San Joaquin,2017,0,2,22,13,0,1,0,2,2,7,0,49,No
San Leandro Hospital,CA,Alameda,2017,0,0,12,4,0,1,0,0,0,3,0,20,No
San Mateo Medical Center,CA,San Mateo,2017,0,1,51,9,0,1,1,1,0,2,3,69,No
San Ramon Regional Medical Center,CA,Contra Costa,2017,0,0,95,24,0,0,3,0,5,4,0,131,No
Santa Barbara Cottage Hospital,CA,Santa Barbara,2017,2,33,62,39,0,4,26,5,37,17,3,228,No
Santa Clara Valley Medical Center,CA,Santa Clara,2017,9,17,126,46,2,5,10,4,23,18,7,267,No
Santa Monica UCLA Medical Center and Orthopedic Hospital,CA,Los Angeles,2017,19,11,338,22,0,0,7,0,52,13,4,466,No
Santa Rosa Memorial Hospital Montgomery,CA,Sonoma,2017,0,18,144,11,0,0,3,0,14,2,0,192,No
Scripps Green Hospital,CA,San Diego,2017,5,14,151,47,4,21,0,14,48,25,4,333,No
Scripps Memorial Hospital Encinitas,CA,San Diego,2017,0,7,62,26,0,4,15,1,3,16,2,136,No
Scripps Memorial Hospital La Jolla,CA,San Diego,2017,0,28,296,42,0,2,31,1,9,22,2,433,No
Scripps Mercy Hospital,CA,San Diego,2017,17,14,138,87,1,6,18,5,135,35,6,462,No
Seneca Healthcare District,CA,Plumas,2014,0,0,1,0,0,0,0,0,0,0,0,1,No
Sequoia Hospital,CA,San Mateo,2017,0,5,17,31,0,2,3,0,26,8,0,92,No
Seton Medical Center,CA,San Mateo,2017,0,0,19,12,0,0,2,0,1,4,6,44,No
Sharon Regional,PA,Mercer,2018,2,0,12,20,0,0,1,0,0,0,2,37,No
Sharp Chula Vista Medical Center,CA,San Diego,2017,0,11,170,45,3,3,7,3,2,27,11,282,No
Sharp Coronado Hospital and Healthcare Center,CA,San Diego,2017,0,0,3,6,0,0,1,0,0,7,0,17,No
Sharp Memorial Hospital,CA,San Diego,2017,8,31,506,99,4,18,27,8,71,32,4,808,No
Shasta Regional Medical Center,CA,Shasta,2017,0,0,0,10,0,1,9,1,0,2,1,24,No
Sherman Oaks Hospital,CA,Los Angeles,2017,0,0,0,6,0,0,0,0,0,1,0,7,No
Sierra Nevada Memorial Hospital,CA,Nevada,2017,0,0,56,15,0,1,1,0,1,7,0,81,No
Sierra View Medical Center,CA,Tulare,2017,0,0,42,10,0,0,0,0,0,2,0,54,No
Sierra Vista Regional Medical Center,CA,San Luis Obispo,2017,0,22,30,19,0,1,9,3,27,4,0,115,No
Silver Lake Medical Center Downtown Campus,CA,Los Angeles,2017,0,0,2,1,0,0,0,0,1,0,0,4,No
Simi Valley Hospital and Healthcare Services Sycamore,CA,Ventura,2017,0,3,6,14,0,1,0,1,0,3,0,28,No
Soldiers & Sailors,PA,Tioga,2018,0,0,5,7,0,0,0,0,0,0,0,12,No
Somerset,PA,Somerset,2018,0,0,8,9,0,0,0,0,0,3,0,20,No
Sonoma Valley Hospital,CA,Sonoma,2017,0,0,0,5,0,0,0,0,0,1,0,6,No
Sonora Regional Medical Center Greenley,CA,Tuolumne,2017,0,0,69,6,0,0,0,0,0,2,0,77,No
Soon-Shiong MC Windber,PA,Somerset,2018,0,0,55,17,0,0,0,0,0,0,0,72,No
South Coast Global Medical Center,CA,Orange,2017,0,0,27,3,0,0,0,0,6,1,0,37,No
Southern California Hospital at Culver City,CA,Los Angeles,2017,0,0,26,7,0,0,3,1,6,5,4,52,No
Southern California Hospital at Hollywood,CA,Los Angeles,2017,0,0,0,4,0,0,0,0,4,4,0,12,No
Southwest Healthcare System Murrieta,CA,Riverside,2017,2,25,82,32,1,1,0,0,48,14,1,206,No
St Clair,PA,Allegheny,2018,14,0,203,48,4,0,52,0,81,13,1,416,No
St Joseph Reading,PA,Berks,2018,1,2,58,24,0,0,9,0,0,3,2,99,No
St Luke's Anderson,PA,Northampton,2018,8,0,217,5,0,0,0,0,0,0,0,230,No
St Luke's Bethlehem,PA,Lehigh,2018,19,28,114,96,12,7,73,21,113,26,11,520,No
St Luke's Miners,PA,Schuylkill,2018,2,0,6,1,0,0,0,0,0,0,0,9,No
St Luke's Monroe,PA,Monroe,2018,1,0,1,6,0,0,0,0,1,0,0,9,No
St Luke's Quakertown,PA,Bucks,2018,1,0,8,6,0,0,0,0,1,0,0,16,No
St Luke's Sacred Heart,PA,Lehigh,2018,0,0,18,3,0,0,1,0,0,0,0,22,No
St Mary MC,PA,Bucks,2018,13,6,168,42,0,0,19,0,53,9,0,310,No
Stanford Health Care,CA,Santa Clara,2017,74,101,561,99,48,137,131,73,215,103,45,1587,Yes
Stanislaus Surgical Hospital,CA,Stanislaus,2017,0,0,6,0,0,0,0,0,0,0,0,6,No
Suburban Community,PA,Montgomery,2018,4,0,0,10,0,0,1,0,9,1,0,25,No
Sunbury Community,PA,Northumberland,2018,1,0,0,4,0,0,0,0,1,0,0,6,No
Surgical Inst Reading,PA,Berks,2018,0,0,15,1,0,0,0,0,0,0,0,16,No
Surgical Spec Coordinated,PA,Lehigh,2018,0,0,24,0,0,0,0,0,0,0,0,24,No
Sutter Amador Hospital,CA,Amador,2017,0,0,2,11,0,0,0,0,0,0,0,13,No
Sutter Auburn Faith Hospital,CA,Placer,2017,1,0,52,10,0,2,1,0,0,2,1,69,No
Sutter Coast Hospital,CA,Del Norte,2017,0,0,13,6,0,0,0,0,0,0,0,19,No
Sutter Davis Hospital,CA,Yolo,2017,0,0,16,2,0,0,0,0,2,1,0,21,No
Sutter Delta Medical Center,CA,Contra Costa,2017,0,0,28,7,0,0,0,0,2,1,0,38,No
Sutter Lakeside Hospital,CA,Lake,2017,0,0,0,4,0,0,1,0,0,2,0,7,No
Sutter Medical Center of Santa Rosa,CA,Sonoma,2014,1,0,72,19,0,0,7,0,0,0,1,100,No
"Sutter Medical Center, Sacramento",CA,Sacramento,2017,3,38,296,47,10,8,31,7,137,22,6,605,No
Sutter Memorial Hospital,CA,Sacramento,2015,0,11,0,2,0,0,2,0,0,0,0,15,No
Sutter Roseville Medical Center,CA,Placer,2017,1,19,163,46,0,2,50,2,72,17,1,373,No
Sutter Santa Rosa Regional Hospital,CA,Sonoma,2017,0,0,76,19,3,0,3,0,0,11,1,113,No
Sutter Solano Medical Center,CA,Solano,2017,0,0,52,21,0,0,1,0,2,12,1,89,No
Sutter Surgical Hospital North Valley,CA,Sutter,2017,0,0,82,6,0,0,0,0,0,2,0,90,No
Sutter Tracy Community Hospital,CA,San Joaquin,2017,0,0,20,11,0,0,0,0,0,3,0,34,No
Tahoe Forest Hospital,CA,Nevada,2017,0,0,26,8,0,0,0,0,3,0,1,38,No
Taylor Crozer,PA,Delaware,2018,2,0,1,8,0,0,0,0,1,0,0,12,No
Temecula Valley Hospital,CA,Riverside,2017,0,0,62,13,0,2,7,0,1,6,4,95,No
Temple Community Hospital,CA,Los Angeles,2014,0,0,2,2,0,0,0,0,0,0,0,4,No
Temple University,PA,Philadelphia,2018,14,28,107,36,6,13,61,4,128,16,8,421,No
Thomas Jefferson Univ,PA,Philadelphia,2018,39,141,251,66,28,25,92,114,94,17,24,891,Yes
Titusville Area,PA,Crawford,2018,0,0,0,7,0,0,0,0,0,0,0,7,No
Torrance Memorial Medical Center,CA,Los Angeles,2017,4,13,347,96,5,7,47,8,68,38,6,639,No
Tri-City Medical Center ñ Oceanside,CA,San Diego,2017,1,5,89,34,0,0,9,1,34,17,0,190,No
Trinity Hospital,CA,Trinity,2016,0,0,1,0,0,0,0,0,0,0,0,1,No
Troy Community,PA,Bradford,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
Tulare Regional Medical Center,CA,Tulare,2017,0,0,2,1,0,0,0,0,0,0,0,3,No
Twin Cities Community Hospital,CA,San Luis Obispo,2017,0,0,35,11,0,1,0,0,6,4,0,57,No
Tyler Memorial,PA,Wyoming,2018,0,0,3,2,0,0,0,0,0,0,0,5,No
Tyrone Regional Health,PA,Blair,2018,0,0,24,1,0,0,0,0,0,0,0,25,No
UC Davis Medical Center,CA,Sacramento,2017,37,59,205,37,7,16,54,27,62,31,3,538,Yes
UC Irvine Medical Center,CA,Orange,2017,21,108,144,57,6,19,32,42,59,58,21,567,Yes
UC San Diego Health System Hillcrest Medical Center,CA,San Diego,2017,34,69,381,108,19,62,74,38,151,47,23,1006,Yes
UC San Francisco Medical Center,CA,San Francisco,2017,61,354,459,108,28,152,97,57,313,100,31,1760,Yes
Ukiah Valley Medical Center,CA,Mendocino,2017,0,0,102,19,0,0,3,0,0,1,0,125,No
Uniontown,PA,Fayette,2018,1,0,75,26,1,0,3,0,2,4,0,112,No
University of Southern California Verdugo Hills Hospital,CA,Los Angeles,2017,3,0,52,7,0,0,0,1,117,4,0,184,No
UPMC Altoona,PA,Blair,2018,5,2,68,39,0,0,17,0,21,5,2,159,No
UPMC Bedford,PA,Bedford,2018,2,0,9,4,0,0,0,0,2,0,0,17,No
UPMC Cole,PA,Potter,2018,0,0,6,3,0,0,0,0,0,0,0,9,No
UPMC East,PA,Allegheny,2018,11,0,2,24,0,0,10,0,2,0,1,50,No
UPMC Hamot,PA,Erie,2018,7,14,152,40,0,1,31,0,43,10,1,299,No
UPMC Horizon,PA,Mercer,2018,3,0,69,6,0,0,0,0,2,0,0,80,No
UPMC Jameson,PA,Lawrence,2018,3,0,35,21,0,0,3,0,4,0,0,66,No
UPMC Kane,PA,McKean,2018,0,0,2,0,0,0,0,0,0,0,0,2,No
UPMC McKeesport,PA,Allegheny,2018,2,0,6,14,0,0,0,0,1,0,0,23,Yes
UPMC Mercy,PA,Allegheny,2018,35,14,3,22,7,1,35,0,55,5,0,177,No
UPMC Northwest,PA,Venango,2018,6,0,27,13,0,0,0,0,1,0,0,47,No
UPMC Passavant,PA,Allegheny,2018,3,0,211,115,18,37,71,0,27,62,4,548,Yes
UPMC Pinnacle Carlisle,PA,Cumberland,2018,3,0,11,10,0,0,0,0,4,0,0,28,No
UPMC Pinnacle Hanover,PA,York,2018,1,0,66,20,0,0,0,0,0,2,0,89,No
UPMC Pinnacle Hospitals,PA,Dauphin,2018,27,0,331,115,2,2,34,3,78,20,1,613,No
UPMC Pinnacle Lancaster,PA,Lancaster,2018,5,2,6,7,1,0,10,4,18,4,3,60,No
UPMC Pinnacle Lititz,PA,Lancaster,2018,2,0,54,5,0,0,0,0,0,0,0,61,No
UPMC Pinnacle Memorial,PA,York,2018,0,0,18,14,0,0,0,0,0,2,0,34,No
UPMC Presby Shadyside,PA,Allegheny,2018,104,168,80,181,54,130,170,85,342,39,38,1391,Yes
UPMC St Margaret,PA,Allegheny,2018,8,0,46,40,0,1,48,0,1,5,4,153,No
Valley Presbyterian Hospital,CA,Los Angeles,2017,2,2,154,21,0,6,2,3,2,11,7,210,No
Valleycare Medical Center,CA,Alameda,2017,0,0,85,21,0,0,6,1,0,4,1,118,No
Ventura County Medical Center,CA,Ventura,2017,0,4,59,12,2,8,0,4,14,10,3,116,No
Vibra Hospital of San Diego,CA,San Diego,2017,0,0,0,0,0,0,0,0,0,1,0,1,No
Victor Valley Global Medical Center,CA,San Bernardino,2017,0,0,33,11,0,0,0,0,0,5,0,49,No
Warren General,PA,Warren,2018,0,0,21,5,0,0,0,0,0,0,0,26,No
Washington,PA,Washington,2018,2,0,57,36,2,0,27,0,30,2,1,157,No
Washington Hospital ñ Fremont,CA,Alameda,2017,0,9,25,37,3,1,8,0,3,5,0,91,No
Watsonville Community Hospital,CA,Santa Cruz,2017,0,0,23,9,0,0,0,0,1,1,1,35,No
Wayne Memorial,PA,Wayne,2018,0,0,23,10,0,0,0,0,0,1,0,34,No
Waynesboro,PA,Franklin,2018,0,0,49,4,0,0,0,0,0,1,0,54,No
WellSpan Gettysburg,PA,Adams,2018,1,0,57,27,0,0,0,0,1,1,0,87,No
WellSpan Good Samaritan,PA,Lebanon,2018,1,0,72,12,0,0,4,0,2,2,0,93,No
West Anaheim Medical Center,CA,Orange,2017,0,0,2,4,0,0,1,0,0,0,0,7,No
West Hills Hospital and Medical Center,CA,Los Angeles,2017,0,14,47,19,0,0,6,0,2,4,0,92,No
West Penn,PA,Allegheny,2018,2,5,64,6,15,2,0,1,7,4,4,110,No
Western Medical Center Anaheim,CA,Orange,2014,0,0,3,5,0,0,0,0,0,1,0,9,No
Western Medical Center ñ Santa Ana,CA,Orange,2014,0,7,31,11,0,0,1,0,1,0,1,52,No
White Memorial Medical Center,CA,Los Angeles,2017,1,12,96,22,0,2,1,1,4,23,6,168,No
Whittier Hospital Medical Center,CA,Los Angeles,2017,0,0,18,12,0,0,3,0,0,6,4,43,No
Wilkes-Barre General,PA,Luzerne,2018,9,3,71,50,0,1,19,0,27,14,3,197,No
Williamsport Regional,PA,Lycoming,2018,12,7,82,20,0,0,12,0,26,4,0,163,No
Woodland Memorial Hospital,CA,Yolo,2017,0,0,42,6,0,0,0,0,0,6,0,54,No
York,PA,York,2018,5,19,104,79,15,5,91,12,4,20,6,360,No
