,Hospital.Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total.Surgeries.for.All.Cancer.Types,National.Cancer.Institute.Designation.
205,Loma Linda University Medical Center Murrieta,CA,Riverside,2018,2,18,83,18,0,1,7,1,3,7,1,141,No
231,Menifee Valley Medical Center,CA,Riverside,2018,0,1,20,9,0,0,0,0,0,0,1,31,No
278,Paoli,PA,Chester,2018,7,2,155,33,0,0,25,0,55,2,0,279,No
276,Palo Verde Hospital,CA,Riverside,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
280,Parkview Community Hospital Medical Center,CA,Riverside,2018,1,0,41,8,0,1,0,0,2,3,0,56,No
318,Riverside Community Hospital,CA,Riverside,2018,1,13,161,69,3,13,18,9,19,24,10,340,No
283,Penn Highlands Brookville,PA,Jefferson,2018,0,0,1,1,0,0,0,0,0,0,0,2,No
284,Penn Highlands Clearfield,PA,Clearfield,2018,0,0,8,3,0,0,0,0,0,0,0,11,No
285,Penn Highlands DuBois,PA,Clearfield,2018,2,0,99,32,1,2,40,0,9,3,1,189,No
286,Penn Highlands Elk,PA,Elk,2018,0,0,3,1,0,0,0,0,1,0,0,5,No
287,Penn Presbyterian,PA,Philadelphia,2018,2,8,0,36,3,1,100,0,313,9,8,480,No
288,Pennsylvania,PA,Philadelphia,2018,2,37,448,51,6,6,0,6,16,20,7,599,No
320,Riverside University Health System Medical Center,CA,Riverside,2018,1,6,45,16,0,3,3,3,8,15,3,103,No
290,Phoenixville,PA,Chester,2018,2,1,112,19,0,0,11,0,32,1,1,179,No
352,San Gorgonio Memorial Hospital,CA,Riverside,2018,0,0,16,0,0,0,0,0,0,0,0,16,No
389,Southwest Healthcare System Murrieta,CA,Riverside,2018,3,24,76,25,0,5,0,0,39,12,0,184,No
423,Temecula Valley Hospital,CA,Riverside,2018,0,1,71,20,0,0,6,0,0,5,2,105,No
174,Kaiser Foundation Hospital Sacramento,CA,Sacramento,2018,0,71,227,62,0,33,0,19,1,24,9,446,No
183,Kaiser Foundation Hospital South Sacramento,CA,Sacramento,2018,36,0,247,50,1,0,91,0,31,29,4,489,No
234,Mercy General Hospital,CA,Sacramento,2018,0,30,65,37,0,1,0,3,1,20,3,160,No
297,Pottstown,PA,Montgomery,2018,4,2,4,8,0,0,0,0,0,0,0,18,No
237,Mercy Hospital of Folsom,CA,Sacramento,2018,0,0,43,9,0,1,0,1,8,4,0,66,No
242,Mercy San Juan Hospital,CA,Sacramento,2018,1,11,110,42,4,1,29,1,19,19,3,240,No
244,Methodist Hospital of Sacramento,CA,Sacramento,2018,0,0,104,22,0,0,0,0,0,7,5,138,No
414,Sutter Medical Center Sacramento,CA,Sacramento,2018,0,41,387,62,13,12,38,18,134,22,5,732,No
436,UC Davis Medical Center,CA,Sacramento,2018,53,52,222,52,10,18,81,28,24,39,7,586,Yes
131,Hazel Hawkins Memorial Hospital,CA,San Benito,2018,0,0,11,6,0,0,0,0,0,2,0,19,No
18,Arrowhead Regional Medical Center,CA,San Bernardino,2018,2,24,38,15,1,2,3,3,3,14,1,106,No
307,Punxsutawney Area,PA,Jefferson,2018,0,0,6,5,0,0,0,0,1,1,0,13,No
23,Barstow Community Hospital,CA,San Bernardino,2018,0,0,3,3,0,0,0,0,0,1,1,8,No
310,Reading,PA,Berks,2018,29,13,192,69,2,0,36,7,56,7,4,415,No
48,Chino Valley Medical Center,CA,San Bernardino,2018,0,0,23,3,0,0,0,0,0,2,1,29,No
57,Colorado River Medical Center,CA,San Bernardino,2018,0,0,1,0,0,0,0,0,0,1,0,2,No
61,Community Hospital of San Bernardino,CA,San Bernardino,2018,0,0,24,6,0,1,0,0,0,3,0,34,No
314,Regional Scranton,PA,Lackawanna,2018,15,0,31,12,0,0,30,0,41,2,0,131,No
315,Riddle Memorial,PA,Delaware,2018,8,0,90,28,0,0,0,0,2,5,0,133,No
75,Desert Valley Hospital,CA,San Bernardino,2018,1,0,12,7,0,0,1,0,13,2,1,37,No
137,Hi-Desert Medical Center,CA,San Bernardino,2018,0,0,0,2,0,1,0,0,0,0,0,3,No
160,Kaiser Foundation Hospital Fontana,CA,San Bernardino,2018,19,56,491,83,16,3,54,7,195,30,16,970,No
204,Loma Linda University Medical Center,CA,San Bernardino,2018,30,58,189,57,6,42,30,10,93,30,11,556,No
253,Montclair Hospital Medical Center,CA,San Bernardino,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
321,Robert Packer,PA,Bradford,2018,4,4,124,46,7,3,44,5,44,15,5,301,No
311,Redlands Community Hospital,CA,San Bernardino,2018,1,11,116,41,0,1,4,0,18,14,2,208,No
323,Roxborough Memorial,PA,Philadelphia,2018,2,0,1,1,0,0,1,0,0,0,0,5,No
326,Saint Bernardine Medical Center,CA,San Bernardino,2018,1,10,83,24,0,1,8,0,96,17,2,242,No
340,Saint Mary Medical Center Apple Valley,CA,San Bernardino,2018,0,0,35,12,0,0,6,0,19,10,0,82,No
348,San Antonio Regional Hospital,CA,San Bernardino,2018,1,10,146,59,0,3,17,0,31,11,7,285,No
467,Victor Valley Global Medical Center,CA,San Bernardino,2018,0,0,40,11,0,0,0,0,2,1,0,54,No
14,Alvarado Hospital,CA,San Diego,2018,0,0,5,5,0,0,3,1,0,2,0,16,No
128,Grossmont Hospital,CA,San Diego,2018,1,24,103,46,2,10,25,6,9,23,4,253,No
175,Kaiser Foundation Hospital San Diego,CA,San Diego,2018,9,33,625,108,8,21,61,8,51,40,10,974,No
277,Palomar Health Downtown Campus,CA,San Diego,2018,9,19,111,62,0,1,10,0,42,13,2,269,No
279,Paradise Valley Hospital,CA,San Diego,2018,0,0,2,4,0,0,0,0,0,3,0,9,No
295,Pomerado Hospital,CA,San Diego,2018,0,0,45,13,0,0,0,0,0,3,0,61,No
362,Scripps Green Hospital,CA,San Diego,2018,11,12,101,55,3,19,1,9,54,28,3,296,No
363,Scripps Memorial Hospital Encinitas,CA,San Diego,2018,2,9,34,20,0,0,21,0,3,8,1,98,No
364,Scripps Memorial Hospital La Jolla,CA,San Diego,2018,0,25,363,44,1,5,23,1,0,41,5,508,No
365,Scripps Mercy Hospital,CA,San Diego,2018,16,10,116,61,0,2,22,6,144,28,10,415,No
370,Sharp Chula Vista Medical Center,CA,San Diego,2018,0,10,159,47,0,1,9,4,1,27,5,263,No
371,Sharp Coronado Hospital and Healthcare Center,CA,San Diego,2018,0,0,1,3,0,0,0,0,0,2,0,6,No
372,Sharp Memorial Hospital,CA,San Diego,2018,4,23,457,89,3,27,39,10,93,44,9,798,No
429,Tri-City Medical Center Oceanside,CA,San Diego,2018,4,4,101,39,0,1,17,0,21,20,0,207,No
438,UC San Diego Health System Hillcrest Medical Center,CA,San Diego,2018,31,64,442,124,12,76,73,37,122,72,26,1079,Yes
344,Saint Vincent,PA,Erie,2018,11,6,93,49,0,2,24,1,26,16,3,231,No
35,California Pacific Medical Center Davies Campus,CA,San Francisco,2018,0,10,87,0,0,0,0,0,0,0,0,97,No
36,California Pacific Medical Center Pacific Campus,CA,San Francisco,2018,1,23,338,63,9,53,14,49,11,31,11,603,No
37,California Pacific Medical Center St. Lukeís Campus,CA,San Francisco,2018,0,0,4,4,0,0,0,0,0,0,0,8,No
47,Chinese Hospital,CA,San Francisco,2018,0,0,6,12,0,0,0,0,0,4,3,25,No
176,Kaiser Foundation Hospital San Francisco,CA,San Francisco,2018,6,0,161,44,0,35,0,24,61,46,0,377,No
299,Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,CA,San Francisco,2018,2,10,52,12,0,3,3,0,6,6,3,97,No
329,Saint Francis Memorial Hospital,CA,San Francisco,2018,0,0,1,4,0,0,0,0,1,3,1,10,No
342,"Saint Maryís Medical Center, San Francisco",CA,San Francisco,2018,1,0,83,8,0,2,4,0,0,3,1,102,No
439,UC San Francisco Medical Center,CA,San Francisco,2018,53,325,427,84,25,145,86,60,243,112,33,1593,Yes
71,Dameron Hospital,CA,San Joaquin,2018,0,0,5,5,0,0,3,0,0,2,1,16,No
76,Doctors Hospital of Manteca,CA,San Joaquin,2018,0,0,54,4,0,1,0,0,1,1,0,61,No
164,Kaiser Foundation Hospital Manteca,CA,San Joaquin,2018,0,0,259,52,5,0,11,0,2,24,1,354,No
203,Lodi Memorial Hospital,CA,San Joaquin,2018,2,0,24,17,0,2,0,0,16,3,2,66,No
337,Saint Josephís Medical Center of Stockton,CA,San Joaquin,2018,1,0,139,49,5,5,14,5,14,15,5,252,No
354,San Joaquin General Hospital,CA,San Joaquin,2018,0,7,23,15,0,0,0,1,1,3,1,51,No
420,Sutter Tracy Community Hospital,CA,San Joaquin,2018,0,0,23,15,0,2,0,0,0,3,2,45,No
105,French Hospital Medical Center,CA,San Luis Obispo,2018,1,0,13,6,0,1,2,1,7,3,1,35,No
221,Marian Regional Medical Center ñ Arroyo Grande,CA,San Luis Obispo,2018,0,0,6,14,0,0,3,7,1,4,0,35,No
377,Sierra Vista Regional Medical Center,CA,San Luis Obispo,2018,0,23,21,15,5,1,12,9,38,3,0,127,No
433,Twin Cities Community Hospital,CA,San Luis Obispo,2018,0,0,24,15,0,0,0,0,5,1,0,45,No
170,Kaiser Foundation Hospital Redwood City,CA,San Mateo,2018,5,138,125,23,0,1,0,0,1,0,0,293,No
369,Sharon Regional,PA,Mercer,2018,2,0,12,20,0,0,1,0,0,0,2,37,No
184,Kaiser Foundation Hospital South San Francisco,CA,San Mateo,2018,1,0,140,21,1,0,0,0,2,9,31,205,No
232,Menlo Park Surgical Hospital,CA,San Mateo,2018,0,0,187,1,0,0,0,0,0,0,0,188,No
282,Peninsula Medical Center,CA,San Mateo,2018,3,2,259,35,6,5,16,10,18,11,4,369,No
356,San Mateo Medical Center,CA,San Mateo,2018,0,1,40,8,0,0,1,0,0,2,0,52,No
367,Sequoia Hospital,CA,San Mateo,2018,1,9,20,27,0,3,2,0,15,5,0,82,No
368,Seton Medical Center,CA,San Mateo,2018,0,2,36,7,0,1,2,0,0,5,2,55,No
122,Goleta Valley Cottage Hospital,CA,Santa Barbara,2018,0,0,21,0,0,0,0,0,0,0,0,21,No
206,Lompoc Valley Medical Center,CA,Santa Barbara,2018,0,0,6,14,0,0,0,0,0,0,0,20,No
220,Marian Regional Medical Center,CA,Santa Barbara,2018,0,10,215,29,0,0,1,0,15,12,3,285,No
358,Santa Barbara Cottage Hospital,CA,Santa Barbara,2018,0,33,83,55,3,16,22,15,52,24,6,309,No
380,Soldiers & Sailors,PA,Tioga,2018,0,0,5,7,0,0,0,0,0,0,0,12,No
381,Somerset,PA,Somerset,2018,0,0,8,9,0,0,0,0,0,3,0,20,No
87,El Camino Hospital,CA,Santa Clara,2018,4,9,167,76,0,6,29,6,116,14,8,435,No
125,Good Samaritan Hospital San Jose,CA,Santa Clara,2018,1,18,182,50,1,2,14,4,6,15,2,295,No
384,Soon-Shiong MC Windber,PA,Somerset,2018,0,0,55,17,0,0,0,0,0,0,0,72,No
177,Kaiser Foundation Hospital San Jose,CA,Santa Clara,2018,1,0,213,53,0,24,0,15,1,8,0,315,No
180,Kaiser Foundation Hospital Santa Clara,CA,Santa Clara,2018,7,1,406,56,11,1,73,0,89,20,0,664,No
264,OíConnor Hospital,CA,Santa Clara,2018,0,16,46,26,1,0,17,2,0,13,5,126,No
313,Regional Medical of San Jose,CA,Santa Clara,2018,0,14,5,24,0,2,12,2,2,9,5,75,No
390,St Clair,PA,Allegheny,2018,14,0,203,48,4,0,52,0,81,13,1,416,No
391,St Joseph Reading,PA,Berks,2018,1,2,58,24,0,0,9,0,0,3,2,99,No
392,St Luke's Anderson,PA,Northampton,2018,8,0,217,5,0,0,0,0,0,0,0,230,No
393,St Luke's Bethlehem,PA,Lehigh,2018,19,28,114,96,12,7,73,21,113,26,11,520,No
394,St Luke's Miners,PA,Schuylkill,2018,2,0,6,1,0,0,0,0,0,0,0,9,No
395,St Luke's Monroe,PA,Monroe,2018,1,0,1,6,0,0,0,0,1,0,0,9,No
396,St Luke's Quakertown,PA,Bucks,2018,1,0,8,6,0,0,0,0,1,0,0,16,No
397,St Luke's Sacred Heart,PA,Lehigh,2018,0,0,18,3,0,0,1,0,0,0,0,22,No
398,St Mary MC,PA,Bucks,2018,13,6,168,42,0,0,19,0,53,9,0,310,No
339,Saint Louise Regional Hospital,CA,Santa Clara,2018,0,0,13,8,0,0,0,0,0,3,3,27,No
359,Santa Clara Valley Medical Center,CA,Santa Clara,2018,0,10,143,39,3,8,8,2,21,16,11,261,No
402,Suburban Community,PA,Montgomery,2018,4,0,0,10,0,0,1,0,9,1,0,25,No
403,Sunbury Community,PA,Northumberland,2018,1,0,0,4,0,0,0,0,1,0,0,6,No
404,Surgical Inst Reading,PA,Berks,2018,0,0,15,1,0,0,0,0,0,0,0,16,No
405,Surgical Spec Coordinated,PA,Lehigh,2018,0,0,24,0,0,0,0,0,0,0,0,24,No
399,Stanford Health Care,CA,Santa Clara,2018,70,138,543,101,43,107,129,71,139,107,42,1490,Yes
79,Dominican Hospital,CA,Santa Cruz,2018,5,19,43,32,0,0,23,1,14,14,2,153,No
471,Watsonville Community Hospital,CA,Santa Cruz,2018,0,0,30,8,0,0,0,0,4,0,1,43,No
239,Mercy Medical Center Redding,CA,Shasta,2018,0,20,29,27,0,3,5,0,19,5,1,109,No
281,Patientsí Hospital of Redding,CA,Shasta,2018,0,0,97,0,0,0,0,0,0,0,0,97,No
373,Shasta Regional Medical Center,CA,Shasta,2018,0,0,0,14,0,0,14,0,1,2,0,31,No
97,Fairchild Medical Center,CA,Siskiyou,2018,0,0,12,3,1,0,0,0,0,1,0,17,No
240,Mercy Medical Center Mt. Shasta,CA,Siskiyou,2018,0,0,6,4,0,0,0,0,0,3,0,13,No
171,Kaiser Foundation Hospital Rehabilitation Center Vallejo,CA,Solano,2018,2,0,305,32,0,1,18,0,1,19,1,379,No
186,Kaiser Foundation Hospital Vacaville,CA,Solano,2018,7,23,0,18,0,0,0,0,4,1,0,53,No
259,North Bay Medical Center,CA,Solano,2018,0,14,50,20,0,0,6,0,3,2,1,96,No
418,Sutter Solano Medical Center,CA,Solano,2018,0,0,40,22,0,1,1,1,3,7,0,75,No
132,Healdsburg District Hospital,CA,Sonoma,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
181,Kaiser Foundation Hospital Santa Rosa,CA,Sonoma,2018,2,0,210,34,0,0,0,0,1,4,0,251,No
422,Taylor Crozer,PA,Delaware,2018,2,0,1,8,0,0,0,0,1,0,0,12,No
289,Petaluma Valley Hospital,CA,Sonoma,2018,0,0,0,8,0,0,0,0,0,1,0,9,No
361,Santa Rosa Memorial Hospital Montgomery,CA,Sonoma,2018,0,15,169,12,0,0,3,0,8,5,0,212,No
425,Temple University,PA,Philadelphia,2018,14,28,107,36,6,13,61,4,128,16,8,421,No
426,Thomas Jefferson Univ,PA,Philadelphia,2018,39,141,251,66,28,25,92,114,94,17,24,891,Yes
427,Titusville Area,PA,Crawford,2018,0,0,0,7,0,0,0,0,0,0,0,7,No
382,Sonoma Valley Hospital,CA,Sonoma,2018,0,0,6,3,0,0,0,0,0,2,0,11,No
417,Sutter Santa Rosa Regional Hospital,CA,Sonoma,2018,0,0,106,22,2,0,1,0,0,15,2,148,No
431,Troy Community,PA,Bradford,2018,0,0,0,2,0,0,0,0,0,0,0,2,No
77,Doctors Medical Center,CA,Stanislaus,2018,4,19,171,33,0,1,8,5,36,13,4,294,No
90,Emanuel Medical Center,CA,Stanislaus,2018,0,0,39,32,0,3,1,0,1,8,0,84,No
434,Tyler Memorial,PA,Wyoming,2018,0,0,3,2,0,0,0,0,0,0,0,5,No
435,Tyrone Regional Health,PA,Blair,2018,0,0,24,1,0,0,0,0,0,0,0,25,No
228,Memorial Hospital Medical Center Modesto,CA,Stanislaus,2018,1,11,139,39,1,1,12,6,2,14,7,233,No
265,Oak Valley District Hospital,CA,Stanislaus,2018,0,0,2,1,0,0,0,0,0,0,1,4,No
401,Stanislaus Surgical Hospital,CA,Stanislaus,2018,0,0,1,0,0,0,0,0,0,0,0,1,No
419,Sutter Surgical Hospital North Valley,CA,Sutter,2018,0,0,87,11,0,1,0,0,0,2,0,101,No
327,Saint Elizabeth Community Hospital,CA,Tehama,2018,0,0,2,13,0,0,0,0,0,0,1,16,No
441,Uniontown,PA,Fayette,2018,1,0,75,26,1,0,3,0,2,4,0,112,No
430,Trinity Hospital,CA,Trinity,2016,0,0,1,0,0,0,0,0,0,0,0,1,No
443,UPMC Altoona,PA,Blair,2018,5,2,68,39,0,0,17,0,21,5,2,159,No
444,UPMC Bedford,PA,Bedford,2018,2,0,9,4,0,0,0,0,2,0,0,17,No
445,UPMC Cole,PA,Potter,2018,0,0,6,3,0,0,0,0,0,0,0,9,No
446,UPMC East,PA,Allegheny,2018,11,0,2,24,0,0,10,0,2,0,1,50,No
447,UPMC Hamot,PA,Erie,2018,7,14,152,40,0,1,31,0,43,10,1,299,No
448,UPMC Horizon,PA,Mercer,2018,3,0,69,6,0,0,0,0,2,0,0,80,No
449,UPMC Jameson,PA,Lawrence,2018,3,0,35,21,0,0,3,0,4,0,0,66,No
450,UPMC Kane,PA,McKean,2018,0,0,2,0,0,0,0,0,0,0,0,2,No
451,UPMC McKeesport,PA,Allegheny,2018,2,0,6,14,0,0,0,0,1,0,0,23,Yes
452,UPMC Mercy,PA,Allegheny,2018,35,14,3,22,7,1,35,0,55,5,0,177,No
453,UPMC Northwest,PA,Venango,2018,6,0,27,13,0,0,0,0,1,0,0,47,No
454,UPMC Passavant,PA,Allegheny,2018,3,0,211,115,18,37,71,0,27,62,4,548,Yes
455,UPMC Pinnacle Carlisle,PA,Cumberland,2018,3,0,11,10,0,0,0,0,4,0,0,28,No
456,UPMC Pinnacle Hanover,PA,York,2018,1,0,66,20,0,0,0,0,0,2,0,89,No
457,UPMC Pinnacle Hospitals,PA,Dauphin,2018,27,0,331,115,2,2,34,3,78,20,1,613,No
458,UPMC Pinnacle Lancaster,PA,Lancaster,2018,5,2,6,7,1,0,10,4,18,4,3,60,No
459,UPMC Pinnacle Lititz,PA,Lancaster,2018,2,0,54,5,0,0,0,0,0,0,0,61,No
460,UPMC Pinnacle Memorial,PA,York,2018,0,0,18,14,0,0,0,0,0,2,0,34,No
461,UPMC Presby Shadyside,PA,Allegheny,2018,104,168,80,181,54,130,170,85,342,39,38,1391,Yes
462,UPMC St Margaret,PA,Allegheny,2018,8,0,46,40,0,1,48,0,1,5,4,153,No
190,Kaweah Delta Medical Center,CA,Tulare,2018,3,12,124,37,0,3,7,3,24,13,3,229,No
376,Sierra View Medical Center,CA,Tulare,2018,0,0,33,10,0,0,0,0,0,2,0,45,No
432,Tulare Regional Medical Center,CA,Tulare,2017,0,0,2,1,0,0,0,0,0,0,0,3,No
383,Sonora Regional Medical Center Greenley,CA,Tuolumne,2018,0,0,78,2,0,0,0,1,1,2,0,84,No
63,Community Memorial Hospital San Buenaventura,CA,Ventura,2018,0,11,174,35,0,0,4,1,30,5,2,262,No
468,Warren General,PA,Warren,2018,0,0,21,5,0,0,0,0,0,0,0,26,No
469,Washington,PA,Washington,2018,2,0,57,36,2,0,27,0,30,2,1,157,No
214,Los Robles Hospital and Medical Center,CA,Ventura,2018,1,27,124,44,1,3,25,6,42,8,3,284,No
267,Ojai Valley Community Hospital,CA,Ventura,2018,0,0,2,1,0,0,0,0,0,0,0,3,No
472,Wayne Memorial,PA,Wayne,2018,0,0,23,10,0,0,0,0,0,1,0,34,No
473,Waynesboro,PA,Franklin,2018,0,0,49,4,0,0,0,0,0,1,0,54,No
474,WellSpan Gettysburg,PA,Adams,2018,1,0,57,27,0,0,0,0,1,1,0,87,No
475,WellSpan Good Samaritan,PA,Lebanon,2018,1,0,72,12,0,0,4,0,2,2,0,93,No
333,Saint Johnís Pleasant Valley Hospital,CA,Ventura,2018,0,0,40,12,0,0,0,0,0,2,0,54,No
334,Saint Johnís Regional Medical Center,CA,Ventura,2018,1,1,69,29,0,1,29,3,28,10,2,173,No
478,West Penn,PA,Allegheny,2018,2,5,64,6,15,2,0,1,7,4,4,110,No
379,Simi Valley Hospital and Healthcare Services Sycamore,CA,Ventura,2018,1,2,6,18,0,1,0,0,0,4,0,32,No
465,Ventura County Medical Center,CA,Ventura,2018,0,6,66,19,0,6,0,2,11,17,3,130,No
409,Sutter Davis Hospital,CA,Yolo,2018,0,0,25,4,0,1,0,0,0,1,0,31,No
485,Woodland Memorial Hospital,CA,Yolo,2018,0,0,77,10,0,0,0,1,3,7,1,99,No
483,Wilkes-Barre General,PA,Luzerne,2018,9,3,71,50,0,1,19,0,27,14,3,197,No
484,Williamsport Regional,PA,Lycoming,2018,12,7,82,20,0,0,12,0,26,4,0,163,No
316,Adventist Health and Rideout,CA,Yuba,2018,0,0,15,19,0,0,16,0,6,4,1,61,No
486,York,PA,York,2018,5,19,104,79,15,5,91,12,4,20,6,360,No
