Hospital Name,State,County,Latitude,Longitude,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
Chinese Hospital,,San Francisco,37.79565,-122.40926,2017,22,0,0,0,15,0,0,0,0,1,2,4
Chino Valley Medical Center,,San Bernardino,34.02626,-117.687,2013,4,0,0,1,2,0,0,0,0,0,1,0
Chino Valley Medical Center,,San Bernardino,34.02626,-117.687,2014,12,0,0,4,7,0,0,0,0,1,0,0
Chino Valley Medical Center,,San Bernardino,34.02626,-117.687,2015,15,0,0,9,5,0,0,0,0,0,1,0
Chino Valley Medical Center,,San Bernardino,34.02626,-117.687,2016,32,0,0,21,8,0,0,0,0,1,1,1
Chino Valley Medical Center,,San Bernardino,34.02626,-117.687,2017,27,0,0,16,6,0,0,0,0,0,3,2
Citrus Valley Medical Center – Inter Community Campus,,Los Angeles,34.08993,-117.89264,2013,81,0,3,36,31,0,0,6,0,0,3,2
Citrus Valley Medical Center – Inter Community Campus,,Los Angeles,34.08993,-117.89264,2014,79,0,3,52,11,0,0,10,0,0,3,0
Citrus Valley Medical Center – Inter Community Campus,,Los Angeles,34.08993,-117.89264,2015,31,0,1,12,7,0,0,7,0,0,4,0
Citrus Valley Medical Center – Inter Community Campus,,Los Angeles,34.08993,-117.89264,2016,57,1,1,24,15,0,0,10,0,0,5,1
Citrus Valley Medical Center – Inter Community Campus,,Los Angeles,34.08993,-117.89264,2017,40,0,2,11,20,0,0,1,1,1,1,3
Citrus Valley Medical Center – Queen of the Valley Campus,,Los Angeles,34.06242,-117.94528,2013,146,3,8,45,16,0,0,1,0,67,4,2
Citrus Valley Medical Center – Queen of the Valley Campus,,Los Angeles,34.06242,-117.94528,2014,165,0,10,34,18,0,0,4,0,93,4,2
Citrus Valley Medical Center – Queen of the Valley Campus,,Los Angeles,34.06242,-117.94528,2015,139,2,9,41,18,0,1,1,0,57,3,7
Citrus Valley Medical Center – Queen of the Valley Campus,,Los Angeles,34.06242,-117.94528,2016,151,5,8,29,23,0,0,0,0,71,12,3
Citrus Valley Medical Center – Queen of the Valley Campus,,Los Angeles,34.06242,-117.94528,2017,184,5,8,37,26,0,1,4,2,96,4,1
City of Hope Helford Clinical Research Hospital,,Los Angeles,34.13216,-117.97152,2013,1145,40,45,437,56,9,56,40,9,398,26,29
City of Hope Helford Clinical Research Hospital,,Los Angeles,34.13216,-117.97152,2014,1108,38,49,431,55,9,58,52,16,336,30,34
City of Hope Helford Clinical Research Hospital,,Los Angeles,34.13216,-117.97152,2015,799,28,48,332,29,2,67,48,18,167,35,25
City of Hope Helford Clinical Research Hospital,,Los Angeles,34.13216,-117.97152,2016,1197,42,88,517,65,17,101,60,21,211,45,30
City of Hope Helford Clinical Research Hospital,,Los Angeles,34.13216,-117.97152,2017,1157,50,77,473,71,10,90,60,30,218,52,26
Clovis Community Medical Center,,Fresno,36.83745,-119.66072,2013,479,3,0,362,38,3,2,14,4,35,10,8
Clovis Community Medical Center,,Fresno,36.83745,-119.66072,2014,438,3,0,334,41,2,1,6,3,27,12,9
Clovis Community Medical Center,,Fresno,36.83745,-119.66072,2015,362,2,0,291,29,0,2,9,2,17,6,4
Clovis Community Medical Center,,Fresno,36.83745,-119.66072,2016,448,3,0,337,38,2,2,3,1,42,17,3
Clovis Community Medical Center,,Fresno,36.83745,-119.66072,2017,466,0,0,336,65,4,0,3,2,32,20,4
Coast Plaza Hospital,,Los Angeles,33.91264,-118.09906,2013,4,0,0,0,2,0,0,0,0,0,1,1
Coast Plaza Hospital,,Los Angeles,33.91264,-118.09906,2014,4,0,0,0,2,0,0,0,0,0,1,1
Coast Plaza Hospital,,Los Angeles,33.91264,-118.09906,2015,4,0,0,3,1,0,0,0,0,0,0,0
Coast Plaza Hospital,,Los Angeles,33.91264,-118.09906,2016,9,0,0,2,3,0,0,0,0,0,3,1
Coast Plaza Hospital,,Los Angeles,33.91264,-118.09906,2017,11,0,0,4,5,0,0,0,0,0,2,0
Coastal Communities Hospital,,Orange,33.71112,-117.88539,2013,47,0,0,40,4,0,0,0,0,0,2,1
Coastal Communities Hospital,,Orange,33.71112,-117.88539,2014,31,0,0,26,3,0,0,0,0,1,1,0
College Medical Center,,Los Angeles,33.80759,-118.19355,2013,9,0,0,3,5,0,0,1,0,0,0,0
College Medical Center,,Los Angeles,33.80759,-118.19355,2014,5,0,0,1,3,0,0,0,0,0,0,1
College Medical Center,,Los Angeles,33.80759,-118.19355,2015,4,0,0,2,0,0,0,1,0,0,1,0
College Medical Center,,Los Angeles,33.80759,-118.19355,2016,4,0,0,2,2,0,0,0,0,0,0,0
College Medical Center,,Los Angeles,33.80759,-118.19355,2017,8,1,0,0,5,0,0,0,0,1,1,0
Colorado River Medical Center,,San Bernardino,34.8325,-114.61818,2016,2,0,0,1,0,0,0,0,0,0,1,0
Colusa Regional Medical Center,,Colusa,39.20727,-122.00031,2013,1,0,0,0,1,0,0,0,0,0,0,0
Community Hospital Long Beach,,Los Angeles,33.78871,-118.14578,2013,4,0,0,0,2,0,0,0,0,0,1,1
Community Hospital Long Beach,,Los Angeles,33.78871,-118.14578,2014,2,0,0,1,1,0,0,0,0,0,0,0
Community Hospital Long Beach,,Los Angeles,33.78871,-118.14578,2015,5,0,0,2,3,0,0,0,0,0,0,0
Community Hospital Long Beach,,Los Angeles,33.78871,-118.14578,2016,6,0,0,0,3,0,0,0,1,1,0,1
Community Hospital Long Beach,,Los Angeles,33.78871,-118.14578,2017,5,0,0,1,2,0,1,0,0,0,1,0
Community Hospital of San Bernardino,,San Bernardino,34.13138,-117.32245,2013,38,0,0,29,6,0,0,0,0,0,2,1
Community Hospital of San Bernardino,,San Bernardino,34.13138,-117.32245,2014,43,0,0,30,7,0,1,0,0,0,5,0
Community Hospital of San Bernardino,,San Bernardino,34.13138,-117.32245,2015,29,0,0,19,8,0,0,0,0,0,1,1
Community Hospital of San Bernardino,,San Bernardino,34.13138,-117.32245,2016,33,0,0,23,5,0,0,0,0,0,4,1
Community Hospital of San Bernardino,,San Bernardino,34.13138,-117.32245,2017,25,0,0,15,5,0,1,0,0,0,3,1
Community Hospital of The Monterey Peninsula,,Monterey,36.59827,-121.92488,2013,168,0,14,68,39,0,1,20,3,1,15,7
Community Hospital of The Monterey Peninsula,,Monterey,36.59827,-121.92488,2014,171,0,9,84,22,2,0,28,7,1,14,4
Community Hospital of The Monterey Peninsula,,Monterey,36.59827,-121.92488,2015,141,0,9,66,27,0,3,18,4,1,7,6
Community Hospital of The Monterey Peninsula,,Monterey,36.59827,-121.92488,2016,174,1,11,70,34,1,8,12,3,9,19,6
Community Hospital of The Monterey Peninsula,,Monterey,36.59827,-121.92488,2017,179,1,19,55,47,2,3,13,4,6,24,5
Community Memorial Hospital – San Buenaventura,,Ventura,34.274589,-119.258124,2013,295,0,7,179,36,0,0,10,0,52,8,3
Community Memorial Hospital – San Buenaventura,,Ventura,34.274589,-119.258124,2014,263,3,7,149,43,0,4,8,0,40,8,1
Community Memorial Hospital – San Buenaventura,,Ventura,34.274589,-119.258124,2015,195,0,8,100,33,0,0,5,1,41,6,1
Community Memorial Hospital – San Buenaventura,,Ventura,34.274589,-119.258124,2016,274,2,10,142,31,0,2,8,0,59,18,2
Community Memorial Hospital – San Buenaventura,,Ventura,34.274589,-119.258124,2017,322,4,9,160,41,0,1,18,2,69,17,1
Community Regional Medical Center – Fresno,,Fresno,36.74253,-119.78324,2013,236,1,37,47,28,0,22,11,17,50,14,9
Community Regional Medical Center – Fresno,,Fresno,36.74253,-119.78324,2014,236,3,48,49,29,0,18,9,20,45,13,2
Community Regional Medical Center – Fresno,,Fresno,36.74253,-119.78324,2015,188,0,68,40,23,0,5,8,3,34,4,3
Community Regional Medical Center – Fresno,,Fresno,36.74253,-119.78324,2016,358,0,69,63,76,1,12,44,12,34,37,10
Community Regional Medical Center – Fresno,,Fresno,36.74253,-119.78324,2017,311,0,71,70,49,3,8,46,6,29,22,7
Community and Mission Hospital of Huntington Park – Slauson,,Los Angeles,33.98929,-118.22466,2013,8,0,0,3,3,0,0,0,0,0,0,2
Community and Mission Hospital of Huntington Park – Slauson,,Los Angeles,33.98929,-118.22466,2014,6,0,0,2,3,0,0,0,0,0,0,1
Community and Mission Hospital of Huntington Park – Slauson,,Los Angeles,33.98929,-118.22466,2015,2,0,0,2,0,0,0,0,0,0,0,0
Community and Mission Hospital of Huntington Park – Slauson,,Los Angeles,33.98929,-118.22466,2016,8,0,0,2,2,0,0,0,0,2,2,0
Community and Mission Hospital of Huntington Park – Slauson,,Los Angeles,33.98929,-118.22466,2017,4,0,0,2,1,0,0,0,0,0,1,0
Contra Costa Regional Medical Center,,Contra Costa,38.00646,-122.13101,2013,99,0,0,77,18,0,0,0,0,0,3,1
Contra Costa Regional Medical Center,,Contra Costa,38.00646,-122.13101,2014,96,0,0,68,18,0,0,0,0,0,10,0
Contra Costa Regional Medical Center,,Contra Costa,38.00646,-122.13101,2015,55,0,0,34,15,0,0,0,0,0,4,2
Contra Costa Regional Medical Center,,Contra Costa,38.00646,-122.13101,2016,81,0,0,52,14,0,0,0,0,1,9,5
Contra Costa Regional Medical Center,,Contra Costa,38.00646,-122.13101,2017,78,0,0,46,21,0,2,0,1,1,4,3
Corona Regional Medical Center – Main,,Riverside,33.8733354,-117.5668015,2013,52,0,0,38,6,0,1,0,0,1,5,1
Corona Regional Medical Center – Main,,Riverside,33.8733354,-117.5668015,2014,50,0,0,37,9,0,0,0,0,0,3,1
Corona Regional Medical Center – Main,,Riverside,33.8733354,-117.5668015,2015,48,0,1,37,7,0,0,1,1,0,0,1
Corona Regional Medical Center – Main,,Riverside,33.8733354,-117.5668015,2016,77,0,0,61,13,0,0,0,1,0,2,0
Corona Regional Medical Center – Main,,Riverside,33.8733354,-117.5668015,2017,97,0,0,67,20,0,2,0,0,0,7,1
Dameron Hospital,,San Joaquin,37.9613,-121.30061,2013,19,0,0,6,11,0,0,0,0,0,1,1
Dameron Hospital,,San Joaquin,37.9613,-121.30061,2014,20,0,0,6,8,0,0,3,0,0,2,1
Dameron Hospital,,San Joaquin,37.9613,-121.30061,2015,9,0,0,2,7,0,0,0,0,0,0,0
Dameron Hospital,,San Joaquin,37.9613,-121.30061,2016,12,0,0,4,5,0,0,2,1,0,0,0
Dameron Hospital,,San Joaquin,37.9613,-121.30061,2017,16,0,0,1,7,0,1,0,2,0,5,0
Delano Regional Medical Center,,Kern,35.76143,-119.23706,2013,15,0,0,7,4,0,0,0,0,0,3,1
Delano Regional Medical Center,,Kern,35.76143,-119.23706,2014,12,0,0,2,7,0,0,0,0,0,1,2
Delano Regional Medical Center,,Kern,35.76143,-119.23706,2015,10,0,0,7,2,0,0,0,0,0,1,0
Delano Regional Medical Center,,Kern,35.76143,-119.23706,2016,16,0,0,7,6,0,0,0,0,0,1,2
Delano Regional Medical Center,,Kern,35.76143,-119.23706,2017,16,0,0,10,5,0,0,0,0,1,0,0
Desert Regional Medical Center,,Riverside,33.83932,-116.54549,2013,180,0,24,87,23,1,4,28,2,0,8,3
Desert Regional Medical Center,,Riverside,33.83932,-116.54549,2014,231,0,23,105,30,2,0,39,2,0,22,8
Desert Regional Medical Center,,Riverside,33.83932,-116.54549,2015,202,0,16,92,40,1,2,26,0,3,16,6
Desert Regional Medical Center,,Riverside,33.83932,-116.54549,2016,304,0,27,149,36,2,4,31,1,23,25,6
Desert Regional Medical Center,,Riverside,33.83932,-116.54549,2017,300,0,30,178,35,3,3,21,0,11,17,2
Desert Valley Hospital,,San Bernardino,34.47093,-117.29778,2013,44,0,0,13,14,0,0,1,0,14,2,0
Desert Valley Hospital,,San Bernardino,34.47093,-117.29778,2014,47,0,0,6,11,0,0,3,0,26,1,0
Desert Valley Hospital,,San Bernardino,34.47093,-117.29778,2015,36,1,0,3,5,0,0,1,0,25,1,0
Desert Valley Hospital,,San Bernardino,34.47093,-117.29778,2016,53,2,0,10,5,0,1,2,0,30,2,1
Desert Valley Hospital,,San Bernardino,34.47093,-117.29778,2017,57,4,0,4,3,0,0,3,0,40,3,0
Doctors Hospital of Manteca,,San Joaquin,37.80118,-121.19818,2013,37,0,0,32,5,0,0,0,0,0,0,0
Doctors Hospital of Manteca,,San Joaquin,37.80118,-121.19818,2014,63,0,0,43,17,0,0,0,0,0,3,0
Doctors Hospital of Manteca,,San Joaquin,37.80118,-121.19818,2015,43,0,0,34,9,0,0,0,0,0,0,0
Doctors Hospital of Manteca,,San Joaquin,37.80118,-121.19818,2016,53,0,0,43,9,0,0,1,0,0,0,0
Doctors Hospital of Manteca,,San Joaquin,37.80118,-121.19818,2017,43,0,0,34,9,0,0,0,0,0,0,0
Doctors Medical Center,,Stanislaus,37.66439,-120.99631,2013,269,3,19,154,36,1,0,15,2,26,9,4
Doctors Medical Center,,Stanislaus,37.66439,-120.99631,2014,268,3,13,157,45,0,0,18,3,13,10,6
Doctors Medical Center,,Stanislaus,37.66439,-120.99631,2015,208,1,18,116,26,0,0,11,3,27,5,1
Doctors Medical Center,,Stanislaus,37.66439,-120.99631,2016,290,3,21,145,46,0,4,10,4,41,13,3
Doctors Medical Center,,Stanislaus,37.66439,-120.99631,2017,306,2,14,163,42,0,4,14,6,35,22,4
Doctors Medical Center – San Pablo,,Contra Costa,37.95279,-122.33866,2013,38,1,0,17,11,0,0,0,0,1,6,2
Doctors Medical Center – San Pablo,,Contra Costa,37.95279,-122.33866,2014,24,0,0,12,11,0,0,0,0,0,1,0
Doctors Medical Center – San Pablo,,Contra Costa,37.95279,-122.33866,2015,2,0,0,1,0,0,0,0,0,0,1,0
Dominican Hospital,,Santa Cruz,36.98806,-121.98489,2013,125,0,24,49,21,0,0,6,0,15,9,1
Dominican Hospital,,Santa Cruz,36.98806,-121.98489,2014,136,3,28,51,28,1,2,4,0,8,10,1
Dominican Hospital,,Santa Cruz,36.98806,-121.98489,2015,91,2,18,35,16,0,0,13,0,4,2,1
Dominican Hospital,,Santa Cruz,36.98806,-121.98489,2016,161,6,28,52,36,0,1,11,0,11,16,0
Dominican Hospital,,Santa Cruz,36.98806,-121.98489,2017,129,6,16,41,19,0,2,17,0,21,6,1
East Los Angeles Doctors Hospital,,Los Angeles,34.02383,-118.18377,2013,5,0,0,1,4,0,0,0,0,0,0,0
East Los Angeles Doctors Hospital,,Los Angeles,34.02383,-118.18377,2014,4,1,0,2,1,0,0,0,0,0,0,0
East Los Angeles Doctors Hospital,,Los Angeles,34.02383,-118.18377,2015,7,0,0,5,1,0,0,0,0,0,0,1
East Los Angeles Doctors Hospital,,Los Angeles,34.02383,-118.18377,2016,6,0,0,2,2,0,0,0,0,1,1,0
East Los Angeles Doctors Hospital,,Los Angeles,34.02383,-118.18377,2017,6,0,0,0,2,0,0,0,0,0,4,0
Eden Medical Center,,Alameda,37.6983769,-122.0874055,2013,114,1,27,54,13,0,1,10,1,3,3,1
Eden Medical Center,,Alameda,37.6983769,-122.0874055,2014,92,1,21,40,22,0,0,5,0,1,2,0
Eden Medical Center,,Alameda,37.6983769,-122.0874055,2015,76,3,13,40,14,2,0,1,0,0,2,1
Eden Medical Center,,Alameda,37.6983769,-122.0874055,2016,137,0,35,61,24,0,3,4,0,1,7,2
Eden Medical Center,,Alameda,37.6983769,-122.0874055,2017,148,3,36,67,22,0,2,3,1,2,10,2
Eisenhower Medical Center,,Riverside,33.76418,-116.40808,2013,398,4,15,138,79,0,4,36,5,80,32,5
Eisenhower Medical Center,,Riverside,33.76418,-116.40808,2014,388,0,16,132,85,1,0,59,0,62,30,3
Eisenhower Medical Center,,Riverside,33.76418,-116.40808,2015,284,2,13,105,56,0,1,38,0,45,18,6
Eisenhower Medical Center,,Riverside,33.76418,-116.40808,2016,438,6,15,159,86,1,4,46,1,75,42,3
Eisenhower Medical Center,,Riverside,33.76418,-116.40808,2017,422,5,12,161,84,0,3,45,1,74,32,5
El Camino Hospital,,Santa Clara,37.36779,-122.07801,2013,334,4,14,115,66,0,13,23,15,58,17,9
El Camino Hospital,,Santa Clara,37.36779,-122.07801,2014,304,5,12,119,67,0,6,25,4,43,18,5
El Camino Hospital,,Santa Clara,37.36779,-122.07801,2015,253,4,8,84,48,1,3,30,7,53,11,4
El Camino Hospital,,Santa Clara,37.36779,-122.07801,2016,347,9,11,115,65,1,7,27,6,83,14,9
El Camino Hospital,,Santa Clara,37.36779,-122.07801,2017,382,6,9,131,66,0,7,37,7,101,13,5
El Centro Regional Medical Center,,Imperial,32.78138,-115.49824,2013,56,1,1,18,14,0,0,4,0,18,0,0
El Centro Regional Medical Center,,Imperial,32.78138,-115.49824,2014,68,0,0,19,16,0,0,0,0,31,1,1
El Centro Regional Medical Center,,Imperial,32.78138,-115.49824,2015,45,1,0,8,7,0,0,0,0,27,1,1
El Centro Regional Medical Center,,Imperial,32.78138,-115.49824,2016,48,0,0,21,8,0,1,0,0,16,2,0
El Centro Regional Medical Center,,Imperial,32.78138,-115.49824,2017,30,0,0,14,6,0,0,0,0,6,3,1
Emanuel Medical Center,,Stanislaus,37.51052,-120.83966,2013,52,0,0,28,20,0,1,0,0,0,3,0
Emanuel Medical Center,,Stanislaus,37.51052,-120.83966,2014,30,0,0,10,14,0,1,1,0,0,3,1
Emanuel Medical Center,,Stanislaus,37.51052,-120.83966,2015,46,0,0,19,16,0,0,2,0,0,8,1
Emanuel Medical Center,,Stanislaus,37.51052,-120.83966,2016,72,1,0,34,25,0,1,0,1,0,10,0
Emanuel Medical Center,,Stanislaus,37.51052,-120.83966,2017,95,0,0,46,26,0,3,0,1,1,17,1
Encino Hospital Medical Center,,Los Angeles,34.15686,-118.48662,2013,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,,Los Angeles,34.15686,-118.48662,2014,2,0,0,1,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,,Los Angeles,34.15686,-118.48662,2015,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,,Los Angeles,34.15686,-118.48662,2016,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,,Los Angeles,34.15686,-118.48662,2017,2,0,0,1,0,0,0,0,0,0,0,1
Enloe Medical Center – Esplanade,,Butte,39.74224,-121.84922,2013,241,4,6,158,41,0,0,14,0,10,7,1
Enloe Medical Center – Esplanade,,Butte,39.74224,-121.84922,2014,263,1,9,163,36,0,0,22,0,9,23,0
Enloe Medical Center – Esplanade,,Butte,39.74224,-121.84922,2015,171,2,6,99,22,0,0,22,0,6,13,1
Enloe Medical Center – Esplanade,,Butte,39.74224,-121.84922,2016,333,3,9,221,41,0,1,18,1,12,25,2
Enloe Medical Center – Esplanade,,Butte,39.74224,-121.84922,2017,274,1,10,170,45,0,1,7,0,13,24,3
Fairchild Medical Center,,Siskiyou,41.71865,-122.64353,2013,27,0,0,19,8,0,0,0,0,0,0,0
Fairchild Medical Center,,Siskiyou,41.71865,-122.64353,2014,21,0,0,12,9,0,0,0,0,0,0,0
Fairchild Medical Center,,Siskiyou,41.71865,-122.64353,2015,16,0,0,8,8,0,0,0,0,0,0,0
Fairchild Medical Center,,Siskiyou,41.71865,-122.64353,2016,23,0,0,15,7,0,0,0,0,0,1,0
Fairchild Medical Center,,Siskiyou,41.71865,-122.64353,2017,18,0,0,13,5,0,0,0,0,0,0,0
Fallbrook Hospital District,,San Diego,33.38026,-117.24509,2013,18,0,0,16,2,0,0,0,0,0,0,0
Fallbrook Hospital District,,San Diego,33.38026,-117.24509,2014,11,0,0,10,1,0,0,0,0,0,0,0
Feather River Hospital,,Butte,39.75641,-121.57218,2013,69,0,0,48,14,0,0,4,0,0,3,0
Feather River Hospital,,Butte,39.75641,-121.57218,2014,81,0,0,59,17,0,0,2,0,0,3,0
Feather River Hospital,,Butte,39.75641,-121.57218,2015,75,0,0,58,9,0,0,4,0,0,4,0
Feather River Hospital,,Butte,39.75641,-121.57218,2016,81,0,0,62,13,0,0,2,0,1,3,0
Feather River Hospital,,Butte,39.75641,-121.57218,2017,91,1,0,63,13,0,1,7,1,0,5,0
Foothill Presbyterian Hospital – Johnston Memorial,,Los Angeles,34.13384,-117.87244,2013,76,0,3,54,14,0,0,2,0,0,2,1
Foothill Presbyterian Hospital – Johnston Memorial,,Los Angeles,34.13384,-117.87244,2014,56,0,2,32,17,0,0,3,0,0,2,0
Foothill Presbyterian Hospital – Johnston Memorial,,Los Angeles,34.13384,-117.87244,2015,29,0,3,16,9,0,0,1,0,0,0,0
Foothill Presbyterian Hospital – Johnston Memorial,,Los Angeles,34.13384,-117.87244,2016,49,0,3,23,15,0,0,0,0,3,5,0
Foothill Presbyterian Hospital – Johnston Memorial,,Los Angeles,34.13384,-117.87244,2017,101,1,3,28,20,0,3,1,0,39,6,0
Foothill Regional Medical Center,,Orange,.,.,2016,5,0,0,1,1,0,0,1,1,0,1,0
Foothill Regional Medical Center,,Orange,.,.,2017,8,0,0,0,6,0,0,0,0,0,2,0
Fountain Valley Regional Hospital and Medical Center – Euclid,,Orange,33.71546,-117.93694,2013,193,3,10,84,40,0,13,12,3,12,13,3
Fountain Valley Regional Hospital and Medical Center – Euclid,,Orange,33.71546,-117.93694,2014,234,4,10,90,43,1,13,23,7,5,28,10
Fountain Valley Regional Hospital and Medical Center – Euclid,,Orange,33.71546,-117.93694,2015,160,4,7,59,34,0,14,12,2,8,12,8
Fountain Valley Regional Hospital and Medical Center – Euclid,,Orange,33.71546,-117.93694,2016,231,0,8,89,42,1,19,16,8,14,25,9
Fountain Valley Regional Hospital and Medical Center – Euclid,,Orange,33.71546,-117.93694,2017,242,0,6,84,47,2,19,31,13,1,28,11
Frank R. Howard Memorial Hospital,,Mendocino,39.40079,-123.34973,2013,1,0,0,1,0,0,0,0,0,0,0,0
Frank R. Howard Memorial Hospital,,Mendocino,39.40079,-123.34973,2014,4,0,0,0,3,0,0,0,0,0,1,0
Frank R. Howard Memorial Hospital,,Mendocino,39.40079,-123.34973,2015,5,0,0,0,5,0,0,0,0,0,0,0
French Hospital Medical Center,,San Luis Obispo,35.27801,-120.64977,2013,59,1,0,26,8,0,0,4,1,15,3,1
French Hospital Medical Center,,San Luis Obispo,35.27801,-120.64977,2014,45,0,0,9,9,0,0,7,0,19,1,0
French Hospital Medical Center,,San Luis Obispo,35.27801,-120.64977,2015,38,1,0,9,13,0,0,1,1,13,0,0
French Hospital Medical Center,,San Luis Obispo,35.27801,-120.64977,2016,48,0,0,16,14,0,0,0,0,16,1,1
French Hospital Medical Center,,San Luis Obispo,35.27801,-120.64977,2017,32,0,0,10,10,1,0,3,0,7,1,0
Fresno Heart and Surgical Hospital,,Fresno,36.8611,-119.78931,2013,66,0,0,0,24,0,3,18,2,0,16,3
Fresno Heart and Surgical Hospital,,Fresno,36.8611,-119.78931,2014,81,0,0,0,27,1,0,40,3,0,9,1
Fresno Heart and Surgical Hospital,,Fresno,36.8611,-119.78931,2015,46,0,0,0,16,0,0,23,1,0,5,1
Fresno Surgical Hospital,,Fresno,36.82531,-119.78155,2013,46,0,0,38,0,0,0,0,0,8,0,0
Fresno Surgical Hospital,,Fresno,36.82531,-119.78155,2014,107,0,0,100,0,0,0,0,0,7,0,0
Fresno Surgical Hospital,,Fresno,36.82531,-119.78155,2015,73,0,0,66,0,0,0,0,0,7,0,0
Fresno Surgical Hospital,,Fresno,36.82531,-119.78155,2016,79,0,0,77,0,0,0,0,0,2,0,0
Fresno Surgical Hospital,,Fresno,36.82531,-119.78155,2017,79,0,0,75,0,0,0,0,0,4,0,0
Garden Grove Hospital and Medical Center,,Orange,33.7745089,-117.9130315,2013,17,0,1,2,10,0,0,0,0,0,1,3
Garden Grove Hospital and Medical Center,,Orange,33.7745089,-117.9130315,2014,12,0,1,3,5,0,0,0,0,0,2,1
Garden Grove Hospital and Medical Center,,Orange,33.7745089,-117.9130315,2015,3,0,0,0,0,0,0,0,0,0,1,2
Garden Grove Hospital and Medical Center,,Orange,33.7745089,-117.9130315,2016,6,0,0,2,4,0,0,0,0,0,0,0
Garden Grove Hospital and Medical Center,,Orange,33.7745089,-117.9130315,2017,15,0,0,4,6,0,0,0,0,1,3,1
Gardens Regional Hospital and Medical Center,,Los Angeles,33.83352,-118.08169,2013,11,0,0,4,4,0,0,0,1,2,0,0
Gardens Regional Hospital and Medical Center,,Los Angeles,33.83352,-118.08169,2014,17,0,0,11,4,0,0,0,0,0,1,1
Gardens Regional Hospital and Medical Center,,Los Angeles,33.83352,-118.08169,2015,6,0,0,3,1,0,0,0,0,0,2,0
Gardens Regional Hospital and Medical Center,,Los Angeles,33.83352,-118.08169,2016,8,0,0,1,3,0,0,0,0,0,4,0
Garfield Medical Center,,Los Angeles,34.06826,-118.12302,2013,127,1,7,48,33,0,1,19,0,7,5,6
Garfield Medical Center,,Los Angeles,34.06826,-118.12302,2014,125,0,5,57,24,0,0,17,0,5,11,6
Garfield Medical Center,,Los Angeles,34.06826,-118.12302,2015,98,0,8,46,13,0,0,19,0,2,8,2
Garfield Medical Center,,Los Angeles,34.06826,-118.12302,2016,184,0,11,88,36,2,1,25,0,3,12,6
Garfield Medical Center,,Los Angeles,34.06826,-118.12302,2017,255,0,16,102,35,3,1,33,5,30,15,15
George L. Mee Memorial Hospital,,Monterey,36.2071,-121.1325,2013,1,0,0,0,1,0,0,0,0,0,0,0
Glendale Adventist Medical Center,,Los Angeles,34.14951,-118.23109,2013,155,1,11,77,26,1,1,4,3,19,8,4
Glendale Adventist Medical Center,,Los Angeles,34.14951,-118.23109,2014,162,3,11,74,37,1,1,7,4,11,8,5
Glendale Adventist Medical Center,,Los Angeles,34.14951,-118.23109,2015,148,3,3,64,29,2,0,8,7,15,14,3
Glendale Adventist Medical Center,,Los Angeles,34.14951,-118.23109,2016,225,5,21,98,37,1,3,8,5,19,19,9
Glendale Adventist Medical Center,,Los Angeles,34.14951,-118.23109,2017,245,1,23,119,42,1,9,8,4,17,16,5
Glendale Memorial Hospital and Medical Center,,Los Angeles,34.1284,-118.25769,2013,131,0,3,59,31,0,0,13,0,1,21,3
Glendale Memorial Hospital and Medical Center,,Los Angeles,34.1284,-118.25769,2014,128,0,2,39,38,0,0,18,0,0,26,5
Glendale Memorial Hospital and Medical Center,,Los Angeles,34.1284,-118.25769,2015,74,1,2,19,28,0,0,8,0,1,15,0
Glendale Memorial Hospital and Medical Center,,Los Angeles,34.1284,-118.25769,2016,121,1,2,32,43,0,3,17,0,1,16,6
Glendale Memorial Hospital and Medical Center,,Los Angeles,34.1284,-118.25769,2017,111,1,3,35,28,0,0,21,0,4,18,1
Glendora Community Hospital,,Los Angeles,34.12867,-117.86609,2013,2,0,0,1,1,0,0,0,0,0,0,0
Glendora Community Hospital,,Los Angeles,34.12867,-117.86609,2014,2,0,0,1,1,0,0,0,0,0,0,0
Glendora Community Hospital,,Los Angeles,34.12867,-117.86609,2015,1,0,0,0,1,0,0,0,0,0,0,0
Glendora Community Hospital,,Los Angeles,34.12867,-117.86609,2017,3,0,0,1,1,0,0,0,0,0,0,1
Goleta Valley Cottage Hospital,,Santa Barbara,34.43336,-119.80929,2013,25,0,0,25,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,,Santa Barbara,34.43336,-119.80929,2014,14,0,0,14,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,,Santa Barbara,34.43336,-119.80929,2015,12,0,0,12,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,,Santa Barbara,34.43336,-119.80929,2016,28,0,0,27,0,0,0,0,0,1,0,0
Goleta Valley Cottage Hospital,,Santa Barbara,34.43336,-119.80929,2017,12,0,0,12,0,0,0,0,0,0,0,0
Good Samaritan Hospital – Bakersfield,,Kern,35.41216,-119.03913,2013,1,0,0,0,0,0,0,0,0,1,0,0
