Hospital Name,State,County,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2017,1157,50,77,473,71,10,90,60,30,218,52,26
Clovis Community Medical Center,CA,Fresno,2013,479,3,0,362,38,3,2,14,4,35,10,8
Clovis Community Medical Center,CA,Fresno,2014,438,3,0,334,41,2,1,6,3,27,12,9
Clovis Community Medical Center,CA,Fresno,2015,362,2,0,291,29,0,2,9,2,17,6,4
Clovis Community Medical Center,CA,Fresno,2016,448,3,0,337,38,2,2,3,1,42,17,3
Clovis Community Medical Center,CA,Fresno,2017,466,0,0,336,65,4,0,3,2,32,20,4
Coast Plaza Hospital,CA,Los Angeles,2013,4,0,0,0,2,0,0,0,0,0,1,1
Coast Plaza Hospital,CA,Los Angeles,2014,4,0,0,0,2,0,0,0,0,0,1,1
Coast Plaza Hospital,CA,Los Angeles,2015,4,0,0,3,1,0,0,0,0,0,0,0
Coast Plaza Hospital,CA,Los Angeles,2016,9,0,0,2,3,0,0,0,0,0,3,1
Coast Plaza Hospital,CA,Los Angeles,2017,11,0,0,4,5,0,0,0,0,0,2,0
Coastal Communities Hospital,CA,Orange,2013,47,0,0,40,4,0,0,0,0,0,2,1
Coastal Communities Hospital,CA,Orange,2014,31,0,0,26,3,0,0,0,0,1,1,0
College Medical Center,CA,Los Angeles,2013,9,0,0,3,5,0,0,1,0,0,0,0
College Medical Center,CA,Los Angeles,2014,5,0,0,1,3,0,0,0,0,0,0,1
College Medical Center,CA,Los Angeles,2015,4,0,0,2,0,0,0,1,0,0,1,0
College Medical Center,CA,Los Angeles,2016,4,0,0,2,2,0,0,0,0,0,0,0
College Medical Center,CA,Los Angeles,2017,8,1,0,0,5,0,0,0,0,1,1,0
Colorado River Medical Center,CA,San Bernardino,2016,2,0,0,1,0,0,0,0,0,0,1,0
Colusa Regional Medical Center,CA,Colusa,2013,1,0,0,0,1,0,0,0,0,0,0,0
Community Hospital Long Beach,CA,Los Angeles,2013,4,0,0,0,2,0,0,0,0,0,1,1
Community Hospital Long Beach,CA,Los Angeles,2014,2,0,0,1,1,0,0,0,0,0,0,0
Community Hospital Long Beach,CA,Los Angeles,2015,5,0,0,2,3,0,0,0,0,0,0,0
Community Hospital Long Beach,CA,Los Angeles,2016,6,0,0,0,3,0,0,0,1,1,0,1
Community Hospital Long Beach,CA,Los Angeles,2017,5,0,0,1,2,0,1,0,0,0,1,0
Community Hospital of San Bernardino,CA,San Bernardino,2013,38,0,0,29,6,0,0,0,0,0,2,1
Community Hospital of San Bernardino,CA,San Bernardino,2014,43,0,0,30,7,0,1,0,0,0,5,0
Community Hospital of San Bernardino,CA,San Bernardino,2015,29,0,0,19,8,0,0,0,0,0,1,1
Community Hospital of San Bernardino,CA,San Bernardino,2016,33,0,0,23,5,0,0,0,0,0,4,1
Community Hospital of San Bernardino,CA,San Bernardino,2017,25,0,0,15,5,0,1,0,0,0,3,1
Community Hospital of The Monterey Peninsula,CA,Monterey,2013,168,0,14,68,39,0,1,20,3,1,15,7
Community Hospital of The Monterey Peninsula,CA,Monterey,2014,171,0,9,84,22,2,0,28,7,1,14,4
Community Hospital of The Monterey Peninsula,CA,Monterey,2015,141,0,9,66,27,0,3,18,4,1,7,6
Community Hospital of The Monterey Peninsula,CA,Monterey,2016,174,1,11,70,34,1,8,12,3,9,19,6
Community Hospital of The Monterey Peninsula,CA,Monterey,2017,179,1,19,55,47,2,3,13,4,6,24,5
Community Memorial Hospital – San Buenaventura,CA,Ventura,2013,295,0,7,179,36,0,0,10,0,52,8,3
Community Memorial Hospital – San Buenaventura,CA,Ventura,2014,263,3,7,149,43,0,4,8,0,40,8,1
Community Memorial Hospital – San Buenaventura,CA,Ventura,2015,195,0,8,100,33,0,0,5,1,41,6,1
Community Memorial Hospital – San Buenaventura,CA,Ventura,2016,274,2,10,142,31,0,2,8,0,59,18,2
Community Memorial Hospital – San Buenaventura,CA,Ventura,2017,322,4,9,160,41,0,1,18,2,69,17,1
Community Regional Medical Center – Fresno,CA,Fresno,2013,236,1,37,47,28,0,22,11,17,50,14,9
Community Regional Medical Center – Fresno,CA,Fresno,2014,236,3,48,49,29,0,18,9,20,45,13,2
Community Regional Medical Center – Fresno,CA,Fresno,2015,188,0,68,40,23,0,5,8,3,34,4,3
Community Regional Medical Center – Fresno,CA,Fresno,2016,358,0,69,63,76,1,12,44,12,34,37,10
Community Regional Medical Center – Fresno,CA,Fresno,2017,311,0,71,70,49,3,8,46,6,29,22,7
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2013,8,0,0,3,3,0,0,0,0,0,0,2
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2014,6,0,0,2,3,0,0,0,0,0,0,1
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2015,2,0,0,2,0,0,0,0,0,0,0,0
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2016,8,0,0,2,2,0,0,0,0,2,2,0
Community and Mission Hospital of Huntington Park – Slauson,CA,Los Angeles,2017,4,0,0,2,1,0,0,0,0,0,1,0
Contra Costa Regional Medical Center,CA,Contra Costa,2013,99,0,0,77,18,0,0,0,0,0,3,1
Contra Costa Regional Medical Center,CA,Contra Costa,2014,96,0,0,68,18,0,0,0,0,0,10,0
Contra Costa Regional Medical Center,CA,Contra Costa,2015,55,0,0,34,15,0,0,0,0,0,4,2
Contra Costa Regional Medical Center,CA,Contra Costa,2016,81,0,0,52,14,0,0,0,0,1,9,5
Contra Costa Regional Medical Center,CA,Contra Costa,2017,78,0,0,46,21,0,2,0,1,1,4,3
Corona Regional Medical Center – Main,CA,Riverside,2013,52,0,0,38,6,0,1,0,0,1,5,1
Corona Regional Medical Center – Main,CA,Riverside,2014,50,0,0,37,9,0,0,0,0,0,3,1
Corona Regional Medical Center – Main,CA,Riverside,2015,48,0,1,37,7,0,0,1,1,0,0,1
Corona Regional Medical Center – Main,CA,Riverside,2016,77,0,0,61,13,0,0,0,1,0,2,0
Corona Regional Medical Center – Main,CA,Riverside,2017,97,0,0,67,20,0,2,0,0,0,7,1
Dameron Hospital,CA,San Joaquin,2013,19,0,0,6,11,0,0,0,0,0,1,1
Dameron Hospital,CA,San Joaquin,2014,20,0,0,6,8,0,0,3,0,0,2,1
Dameron Hospital,CA,San Joaquin,2015,9,0,0,2,7,0,0,0,0,0,0,0
Dameron Hospital,CA,San Joaquin,2016,12,0,0,4,5,0,0,2,1,0,0,0
Dameron Hospital,CA,San Joaquin,2017,16,0,0,1,7,0,1,0,2,0,5,0
Delano Regional Medical Center,CA,Kern,2013,15,0,0,7,4,0,0,0,0,0,3,1
Delano Regional Medical Center,CA,Kern,2014,12,0,0,2,7,0,0,0,0,0,1,2
Delano Regional Medical Center,CA,Kern,2015,10,0,0,7,2,0,0,0,0,0,1,0
Delano Regional Medical Center,CA,Kern,2016,16,0,0,7,6,0,0,0,0,0,1,2
Delano Regional Medical Center,CA,Kern,2017,16,0,0,10,5,0,0,0,0,1,0,0
Desert Regional Medical Center,CA,Riverside,2013,180,0,24,87,23,1,4,28,2,0,8,3
Desert Regional Medical Center,CA,Riverside,2014,231,0,23,105,30,2,0,39,2,0,22,8
Desert Regional Medical Center,CA,Riverside,2015,202,0,16,92,40,1,2,26,0,3,16,6
Desert Regional Medical Center,CA,Riverside,2016,304,0,27,149,36,2,4,31,1,23,25,6
Desert Regional Medical Center,CA,Riverside,2017,300,0,30,178,35,3,3,21,0,11,17,2
Desert Valley Hospital,CA,San Bernardino,2013,44,0,0,13,14,0,0,1,0,14,2,0
Desert Valley Hospital,CA,San Bernardino,2014,47,0,0,6,11,0,0,3,0,26,1,0
Desert Valley Hospital,CA,San Bernardino,2015,36,1,0,3,5,0,0,1,0,25,1,0
Desert Valley Hospital,CA,San Bernardino,2016,53,2,0,10,5,0,1,2,0,30,2,1
Desert Valley Hospital,CA,San Bernardino,2017,57,4,0,4,3,0,0,3,0,40,3,0
Doctors Hospital of Manteca,CA,San Joaquin,2013,37,0,0,32,5,0,0,0,0,0,0,0
Doctors Hospital of Manteca,CA,San Joaquin,2014,63,0,0,43,17,0,0,0,0,0,3,0
Doctors Hospital of Manteca,CA,San Joaquin,2015,43,0,0,34,9,0,0,0,0,0,0,0
Doctors Hospital of Manteca,CA,San Joaquin,2016,53,0,0,43,9,0,0,1,0,0,0,0
Doctors Hospital of Manteca,CA,San Joaquin,2017,43,0,0,34,9,0,0,0,0,0,0,0
Doctors Medical Center,CA,Stanislaus,2013,269,3,19,154,36,1,0,15,2,26,9,4
Doctors Medical Center,CA,Stanislaus,2014,268,3,13,157,45,0,0,18,3,13,10,6
Doctors Medical Center,CA,Stanislaus,2015,208,1,18,116,26,0,0,11,3,27,5,1
Doctors Medical Center,CA,Stanislaus,2016,290,3,21,145,46,0,4,10,4,41,13,3
Doctors Medical Center,CA,Stanislaus,2017,306,2,14,163,42,0,4,14,6,35,22,4
Doctors Medical Center – San Pablo,CA,Contra Costa,2013,38,1,0,17,11,0,0,0,0,1,6,2
Doctors Medical Center – San Pablo,CA,Contra Costa,2014,24,0,0,12,11,0,0,0,0,0,1,0
Doctors Medical Center – San Pablo,CA,Contra Costa,2015,2,0,0,1,0,0,0,0,0,0,1,0
Dominican Hospital,CA,Santa Cruz,2013,125,0,24,49,21,0,0,6,0,15,9,1
Dominican Hospital,CA,Santa Cruz,2014,136,3,28,51,28,1,2,4,0,8,10,1
Dominican Hospital,CA,Santa Cruz,2015,91,2,18,35,16,0,0,13,0,4,2,1
Dominican Hospital,CA,Santa Cruz,2016,161,6,28,52,36,0,1,11,0,11,16,0
Dominican Hospital,CA,Santa Cruz,2017,129,6,16,41,19,0,2,17,0,21,6,1
East Los Angeles Doctors Hospital,CA,Los Angeles,2013,5,0,0,1,4,0,0,0,0,0,0,0
East Los Angeles Doctors Hospital,CA,Los Angeles,2014,4,1,0,2,1,0,0,0,0,0,0,0
East Los Angeles Doctors Hospital,CA,Los Angeles,2015,7,0,0,5,1,0,0,0,0,0,0,1
East Los Angeles Doctors Hospital,CA,Los Angeles,2016,6,0,0,2,2,0,0,0,0,1,1,0
East Los Angeles Doctors Hospital,CA,Los Angeles,2017,6,0,0,0,2,0,0,0,0,0,4,0
Eden Medical Center,CA,Alameda,2013,114,1,27,54,13,0,1,10,1,3,3,1
Eden Medical Center,CA,Alameda,2014,92,1,21,40,22,0,0,5,0,1,2,0
Eden Medical Center,CA,Alameda,2015,76,3,13,40,14,2,0,1,0,0,2,1
Eden Medical Center,CA,Alameda,2016,137,0,35,61,24,0,3,4,0,1,7,2
Eden Medical Center,CA,Alameda,2017,148,3,36,67,22,0,2,3,1,2,10,2
Eisenhower Medical Center,CA,Riverside,2013,398,4,15,138,79,0,4,36,5,80,32,5
Eisenhower Medical Center,CA,Riverside,2014,388,0,16,132,85,1,0,59,0,62,30,3
Eisenhower Medical Center,CA,Riverside,2015,284,2,13,105,56,0,1,38,0,45,18,6
Eisenhower Medical Center,CA,Riverside,2016,438,6,15,159,86,1,4,46,1,75,42,3
Eisenhower Medical Center,CA,Riverside,2017,422,5,12,161,84,0,3,45,1,74,32,5
El Camino Hospital,CA,Santa Clara,2013,334,4,14,115,66,0,13,23,15,58,17,9
El Camino Hospital,CA,Santa Clara,2014,304,5,12,119,67,0,6,25,4,43,18,5
El Camino Hospital,CA,Santa Clara,2015,253,4,8,84,48,1,3,30,7,53,11,4
El Camino Hospital,CA,Santa Clara,2016,347,9,11,115,65,1,7,27,6,83,14,9
El Camino Hospital,CA,Santa Clara,2017,382,6,9,131,66,0,7,37,7,101,13,5
El Centro Regional Medical Center,CA,Imperial,2013,56,1,1,18,14,0,0,4,0,18,0,0
El Centro Regional Medical Center,CA,Imperial,2014,68,0,0,19,16,0,0,0,0,31,1,1
El Centro Regional Medical Center,CA,Imperial,2015,45,1,0,8,7,0,0,0,0,27,1,1
El Centro Regional Medical Center,CA,Imperial,2016,48,0,0,21,8,0,1,0,0,16,2,0
El Centro Regional Medical Center,CA,Imperial,2017,30,0,0,14,6,0,0,0,0,6,3,1
Emanuel Medical Center,CA,Stanislaus,2013,52,0,0,28,20,0,1,0,0,0,3,0
Emanuel Medical Center,CA,Stanislaus,2014,30,0,0,10,14,0,1,1,0,0,3,1
Emanuel Medical Center,CA,Stanislaus,2015,46,0,0,19,16,0,0,2,0,0,8,1
Emanuel Medical Center,CA,Stanislaus,2016,72,1,0,34,25,0,1,0,1,0,10,0
Emanuel Medical Center,CA,Stanislaus,2017,95,0,0,46,26,0,3,0,1,1,17,1
Encino Hospital Medical Center,CA,Los Angeles,2013,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,CA,Los Angeles,2014,2,0,0,1,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,CA,Los Angeles,2015,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,CA,Los Angeles,2016,1,0,0,0,1,0,0,0,0,0,0,0
Encino Hospital Medical Center,CA,Los Angeles,2017,2,0,0,1,0,0,0,0,0,0,0,1
Enloe Medical Center – Esplanade,CA,Butte,2013,241,4,6,158,41,0,0,14,0,10,7,1
Enloe Medical Center – Esplanade,CA,Butte,2014,263,1,9,163,36,0,0,22,0,9,23,0
Enloe Medical Center – Esplanade,CA,Butte,2015,171,2,6,99,22,0,0,22,0,6,13,1
Enloe Medical Center – Esplanade,CA,Butte,2016,333,3,9,221,41,0,1,18,1,12,25,2
Enloe Medical Center – Esplanade,CA,Butte,2017,274,1,10,170,45,0,1,7,0,13,24,3
Fairchild Medical Center,CA,Siskiyou,2013,27,0,0,19,8,0,0,0,0,0,0,0
Fairchild Medical Center,CA,Siskiyou,2014,21,0,0,12,9,0,0,0,0,0,0,0
Fairchild Medical Center,CA,Siskiyou,2015,16,0,0,8,8,0,0,0,0,0,0,0
Fairchild Medical Center,CA,Siskiyou,2016,23,0,0,15,7,0,0,0,0,0,1,0
Fairchild Medical Center,CA,Siskiyou,2017,18,0,0,13,5,0,0,0,0,0,0,0
Fallbrook Hospital District,CA,San Diego,2013,18,0,0,16,2,0,0,0,0,0,0,0
Fallbrook Hospital District,CA,San Diego,2014,11,0,0,10,1,0,0,0,0,0,0,0
Feather River Hospital,CA,Butte,2013,69,0,0,48,14,0,0,4,0,0,3,0
Feather River Hospital,CA,Butte,2014,81,0,0,59,17,0,0,2,0,0,3,0
Feather River Hospital,CA,Butte,2015,75,0,0,58,9,0,0,4,0,0,4,0
Feather River Hospital,CA,Butte,2016,81,0,0,62,13,0,0,2,0,1,3,0
Feather River Hospital,CA,Butte,2017,91,1,0,63,13,0,1,7,1,0,5,0
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2013,76,0,3,54,14,0,0,2,0,0,2,1
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2014,56,0,2,32,17,0,0,3,0,0,2,0
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2015,29,0,3,16,9,0,0,1,0,0,0,0
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2016,49,0,3,23,15,0,0,0,0,3,5,0
Foothill Presbyterian Hospital – Johnston Memorial,CA,Los Angeles,2017,101,1,3,28,20,0,3,1,0,39,6,0
Foothill Regional Medical Center,CA,Orange,2016,5,0,0,1,1,0,0,1,1,0,1,0
Foothill Regional Medical Center,CA,Orange,2017,8,0,0,0,6,0,0,0,0,0,2,0
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2013,193,3,10,84,40,0,13,12,3,12,13,3
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2014,234,4,10,90,43,1,13,23,7,5,28,10
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2015,160,4,7,59,34,0,14,12,2,8,12,8
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2016,231,0,8,89,42,1,19,16,8,14,25,9
Fountain Valley Regional Hospital and Medical Center – Euclid,CA,Orange,2017,242,0,6,84,47,2,19,31,13,1,28,11
Frank R. Howard Memorial Hospital,CA,Mendocino,2013,1,0,0,1,0,0,0,0,0,0,0,0
Frank R. Howard Memorial Hospital,CA,Mendocino,2014,4,0,0,0,3,0,0,0,0,0,1,0
Frank R. Howard Memorial Hospital,CA,Mendocino,2015,5,0,0,0,5,0,0,0,0,0,0,0
French Hospital Medical Center,CA,San Luis Obispo,2013,59,1,0,26,8,0,0,4,1,15,3,1
French Hospital Medical Center,CA,San Luis Obispo,2014,45,0,0,9,9,0,0,7,0,19,1,0
French Hospital Medical Center,CA,San Luis Obispo,2015,38,1,0,9,13,0,0,1,1,13,0,0
French Hospital Medical Center,CA,San Luis Obispo,2016,48,0,0,16,14,0,0,0,0,16,1,1
French Hospital Medical Center,CA,San Luis Obispo,2017,32,0,0,10,10,1,0,3,0,7,1,0
Fresno Heart and Surgical Hospital,CA,Fresno,2013,66,0,0,0,24,0,3,18,2,0,16,3
Fresno Heart and Surgical Hospital,CA,Fresno,2014,81,0,0,0,27,1,0,40,3,0,9,1
Fresno Heart and Surgical Hospital,CA,Fresno,2015,46,0,0,0,16,0,0,23,1,0,5,1
Fresno Surgical Hospital,CA,Fresno,2013,46,0,0,38,0,0,0,0,0,8,0,0
Fresno Surgical Hospital,CA,Fresno,2014,107,0,0,100,0,0,0,0,0,7,0,0
Fresno Surgical Hospital,CA,Fresno,2015,73,0,0,66,0,0,0,0,0,7,0,0
Fresno Surgical Hospital,CA,Fresno,2016,79,0,0,77,0,0,0,0,0,2,0,0
Fresno Surgical Hospital,CA,Fresno,2017,79,0,0,75,0,0,0,0,0,4,0,0
Garden Grove Hospital and Medical Center,CA,Orange,2013,17,0,1,2,10,0,0,0,0,0,1,3
Garden Grove Hospital and Medical Center,CA,Orange,2014,12,0,1,3,5,0,0,0,0,0,2,1
Garden Grove Hospital and Medical Center,CA,Orange,2015,3,0,0,0,0,0,0,0,0,0,1,2
Garden Grove Hospital and Medical Center,CA,Orange,2016,6,0,0,2,4,0,0,0,0,0,0,0
Garden Grove Hospital and Medical Center,CA,Orange,2017,15,0,0,4,6,0,0,0,0,1,3,1
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2013,11,0,0,4,4,0,0,0,1,2,0,0
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2014,17,0,0,11,4,0,0,0,0,0,1,1
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2015,6,0,0,3,1,0,0,0,0,0,2,0
Gardens Regional Hospital and Medical Center,CA,Los Angeles,2016,8,0,0,1,3,0,0,0,0,0,4,0
Garfield Medical Center,CA,Los Angeles,2013,127,1,7,48,33,0,1,19,0,7,5,6
Garfield Medical Center,CA,Los Angeles,2014,125,0,5,57,24,0,0,17,0,5,11,6
Garfield Medical Center,CA,Los Angeles,2015,98,0,8,46,13,0,0,19,0,2,8,2
Garfield Medical Center,CA,Los Angeles,2016,184,0,11,88,36,2,1,25,0,3,12,6
Garfield Medical Center,CA,Los Angeles,2017,255,0,16,102,35,3,1,33,5,30,15,15
George L. Mee Memorial Hospital,CA,Monterey,2013,1,0,0,0,1,0,0,0,0,0,0,0
Glendale Adventist Medical Center,CA,Los Angeles,2013,155,1,11,77,26,1,1,4,3,19,8,4
Glendale Adventist Medical Center,CA,Los Angeles,2014,162,3,11,74,37,1,1,7,4,11,8,5
Glendale Adventist Medical Center,CA,Los Angeles,2015,148,3,3,64,29,2,0,8,7,15,14,3
Glendale Adventist Medical Center,CA,Los Angeles,2016,225,5,21,98,37,1,3,8,5,19,19,9
Glendale Adventist Medical Center,CA,Los Angeles,2017,245,1,23,119,42,1,9,8,4,17,16,5
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2013,131,0,3,59,31,0,0,13,0,1,21,3
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2014,128,0,2,39,38,0,0,18,0,0,26,5
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2015,74,1,2,19,28,0,0,8,0,1,15,0
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2016,121,1,2,32,43,0,3,17,0,1,16,6
Glendale Memorial Hospital and Medical Center,CA,Los Angeles,2017,111,1,3,35,28,0,0,21,0,4,18,1
Glendora Community Hospital,CA,Los Angeles,2013,2,0,0,1,1,0,0,0,0,0,0,0
Glendora Community Hospital,CA,Los Angeles,2014,2,0,0,1,1,0,0,0,0,0,0,0
Glendora Community Hospital,CA,Los Angeles,2015,1,0,0,0,1,0,0,0,0,0,0,0
Glendora Community Hospital,CA,Los Angeles,2017,3,0,0,1,1,0,0,0,0,0,0,1
Goleta Valley Cottage Hospital,CA,Santa Barbara,2013,25,0,0,25,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,CA,Santa Barbara,2014,14,0,0,14,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,CA,Santa Barbara,2015,12,0,0,12,0,0,0,0,0,0,0,0
Goleta Valley Cottage Hospital,CA,Santa Barbara,2016,28,0,0,27,0,0,0,0,0,1,0,0
Goleta Valley Cottage Hospital,CA,Santa Barbara,2017,12,0,0,12,0,0,0,0,0,0,0,0
Good Samaritan Hospital – Bakersfield,CA,Kern,2013,1,0,0,0,0,0,0,0,0,1,0,0
Good Samaritan Hospital – Bakersfield,CA,Kern,2015,2,0,0,1,0,0,0,0,0,1,0,0
Good Samaritan Hospital – Bakersfield,CA,Kern,2016,2,0,0,1,1,0,0,0,0,0,0,0
Good Samaritan Hospital – Bakersfield,CA,Kern,2017,4,0,0,1,0,0,0,0,0,3,0,0
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2013,90,0,8,32,14,0,12,5,8,1,5,5
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2014,90,0,6,21,20,0,15,5,4,2,6,11
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2015,60,0,6,20,18,0,6,4,4,0,0,2
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2016,107,1,7,28,18,0,12,6,8,3,15,9
Good Samaritan Hospital – Los Angeles,CA,Los Angeles,2017,87,0,7,26,16,0,8,6,6,2,5,11
Good Samaritan Hospital – San Jose,CA,Santa Clara,2013,307,0,21,174,44,1,2,11,1,36,12,5
Good Samaritan Hospital – San Jose,CA,Santa Clara,2014,289,1,20,167,45,0,3,22,1,20,8,2
Good Samaritan Hospital – San Jose,CA,Santa Clara,2015,230,0,6,139,33,4,3,16,1,17,7,4
Good Samaritan Hospital – San Jose,CA,Santa Clara,2016,302,1,19,177,47,1,2,27,6,3,17,2
Good Samaritan Hospital – San Jose,CA,Santa Clara,2017,345,0,17,179,61,0,5,25,9,30,16,3
Greater El Monte Community Hospital,CA,Los Angeles,2013,5,0,0,3,1,0,0,0,0,0,1,0
Greater El Monte Community Hospital,CA,Los Angeles,2014,4,0,0,1,3,0,0,0,0,0,0,0
Greater El Monte Community Hospital,CA,Los Angeles,2015,2,0,0,0,1,0,0,0,0,0,1,0
Greater El Monte Community Hospital,CA,Los Angeles,2016,3,0,0,0,1,0,0,0,0,1,1,0
Greater El Monte Community Hospital,CA,Los Angeles,2017,4,0,0,2,1,0,0,0,0,1,0,0
Grossmont Hospital,CA,San Diego,2013,232,1,18,96,53,2,0,28,0,18,9,7
Grossmont Hospital,CA,San Diego,2014,235,0,23,108,61,0,1,20,2,12,6,2
Grossmont Hospital,CA,San Diego,2015,153,1,15,59,36,0,2,17,1,11,10,1
Grossmont Hospital,CA,San Diego,2016,228,2,24,91,50,1,1,17,6,20,13,3
Grossmont Hospital,CA,San Diego,2017,234,2,19,105,53,3,2,16,13,9,10,2
Hazel Hawkins Memorial Hospital,CA,San Benito,2013,13,0,0,8,4,0,0,0,0,0,1,0
Hazel Hawkins Memorial Hospital,CA,San Benito,2014,22,0,0,14,8,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,CA,San Benito,2015,11,0,0,6,5,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,CA,San Benito,2016,20,0,0,14,6,0,0,0,0,0,0,0
Hazel Hawkins Memorial Hospital,CA,San Benito,2017,15,0,0,13,1,0,0,0,0,1,0,0
Healdsburg District Hospital,CA,Sonoma,2014,3,0,0,1,2,0,0,0,0,0,0,0
Healdsburg District Hospital,CA,Sonoma,2015,2,0,0,0,2,0,0,0,0,0,0,0
Hemet Valley Medical Center,CA,Riverside,2013,86,4,0,50,13,0,0,0,0,9,10,0
Hemet Valley Medical Center,CA,Riverside,2014,96,1,0,40,27,0,0,0,0,23,4,1
Hemet Valley Medical Center,CA,Riverside,2015,80,0,0,35,26,0,0,0,0,14,5,0
Hemet Valley Medical Center,CA,Riverside,2016,103,1,0,46,28,0,1,0,0,23,3,1
Hemet Valley Medical Center,CA,Riverside,2017,69,1,0,26,16,0,3,0,2,14,7,0
Henry Mayo Newhall Hospital,CA,Los Angeles,2013,92,0,1,65,19,0,0,2,0,0,4,1
Henry Mayo Newhall Hospital,CA,Los Angeles,2014,46,0,4,22,12,0,0,4,0,0,4,0
Henry Mayo Newhall Hospital,CA,Los Angeles,2015,46,0,9,29,6,0,0,1,0,0,1,0
Henry Mayo Newhall Hospital,CA,Los Angeles,2016,47,1,12,9,8,1,3,4,0,3,5,1
Henry Mayo Newhall Hospital,CA,Los Angeles,2017,80,1,13,26,13,1,1,8,0,11,4,2
Hi-Desert Medical Center,CA,San Bernardino,2013,9,0,0,2,7,0,0,0,0,0,0,0
Hi-Desert Medical Center,CA,San Bernardino,2014,5,0,0,0,4,0,0,0,0,0,1,0
Hi-Desert Medical Center,CA,San Bernardino,2015,4,0,0,2,2,0,0,0,0,0,0,0
Hi-Desert Medical Center,CA,San Bernardino,2017,1,0,0,0,1,0,0,0,0,0,0,0
Highland Hospital,CA,Alameda,2013,89,0,1,34,22,2,0,12,1,8,6,3
Highland Hospital,CA,Alameda,2014,93,0,8,44,20,1,1,5,2,7,4,1
Highland Hospital,CA,Alameda,2015,80,0,3,42,13,1,1,4,2,9,3,2
Highland Hospital,CA,Alameda,2016,113,2,0,53,13,3,1,7,0,16,16,2
Highland Hospital,CA,Alameda,2017,92,1,0,38,12,2,0,7,2,20,8,2
Hoag Memorial Hospital Presbyterian,CA,Orange,2013,1102,11,85,604,90,8,17,64,20,171,19,13
Hoag Memorial Hospital Presbyterian,CA,Orange,2014,1051,5,72,559,95,12,17,69,27,160,29,6
Hoag Memorial Hospital Presbyterian,CA,Orange,2015,846,9,58,428,80,7,15,73,18,133,18,7
Hoag Memorial Hospital Presbyterian,CA,Orange,2016,1139,14,85,618,93,15,22,64,20,158,44,6
Hoag Memorial Hospital Presbyterian,CA,Orange,2017,1234,11,91,625,111,13,24,91,28,186,46,8
Hollywood Presbyterian Medical Center,CA,Los Angeles,2013,100,0,1,64,22,0,0,1,0,0,6,6
Hollywood Presbyterian Medical Center,CA,Los Angeles,2014,97,0,3,48,21,1,1,4,1,0,5,13
Hollywood Presbyterian Medical Center,CA,Los Angeles,2015,101,0,6,48,23,0,0,3,0,0,4,17
Hollywood Presbyterian Medical Center,CA,Los Angeles,2016,140,0,5,63,30,0,1,8,0,7,9,17
Hollywood Presbyterian Medical Center,CA,Los Angeles,2017,109,0,2,45,34,0,2,2,1,2,6,15
Huntington Beach Hospital,CA,Orange,2013,4,0,0,0,2,0,0,0,0,0,1,1
Huntington Beach Hospital,CA,Orange,2014,2,0,0,0,2,0,0,0,0,0,0,0
Huntington Beach Hospital,CA,Orange,2015,3,0,0,0,2,0,0,1,0,0,0,0
Huntington Beach Hospital,CA,Orange,2016,2,0,0,0,1,0,0,0,0,1,0,0
Huntington Beach Hospital,CA,Orange,2017,2,0,0,0,2,0,0,0,0,0,0,0
