Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national comparison_footnote,Patient_experience national_comparison,Patient_experience national comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star rating weight and score,Leapfrog_Safety_Grade,Leapfrog grade conversion,Leapfrog weight and score,US_News_and_World_Report_State_Ranking,US News ranking conversion,US News weight and score,Magnet_Designation,Magnet weight and score,Magnet weight and score,Total_composite_score,url
SAINT ANTHONY HOSPITAL,2875 WEST 19TH STREET,CHICAGO,IL,COOK,60623,41.855538,-87.698272,"2875 WEST 19TH STREET CHICAGO, IL",(773) 521-1710,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,2,0.7,Hospital does not participate,FALSE,0,0,0,0,N,0,0,1,https://www.sahchicago.org/
SAINT BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,COOK,60621,41.778114,-87.633273,"326 W 64TH ST CHICAGO, IL",(773) 962-3900,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,1,0.35,Hospital does not participate,FALSE,0,0,0,0,N,0,0,0,https://www.stbh.org/
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900 SILVER CROSS BLVD,NEW LENOX,IL,WILL,60451,41.54543,-87.986049,"1900 SILVER CROSS BLVD NEW LENOX, IL",(815) 300-1100,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,A,5,1.75,0,0,0,N,0,0,4,https://www.silvercross.org/
SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,COOK,60617,41.749496,-87.568623,"8012 SOUTH CRANDON AVENUE CHICAGO, IL",(773) 356-5000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,,Results are not available for this reporting period.,Yes,2,0.7,F,1,0.35,0,0,0,N,0,0,1,https://www.southshorehospital.com/
SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,COOK,60625,41.975219,-87.698918,"5145 N CALIFORNIA AVE CHICAGO, IL",(773) 878-8200,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,Y,5,0.75,4,https://swedishcovenant.org/
THOREK MEMORIAL HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,COOK,60613,41.954556,-87.650899,"850 W IRVING PARK RD CHICAGO, IL",(312) 525-6780,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,Hospital does not participate,FALSE,0,0,0,0,N,0,0,1,https://www.thorek.org/
UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,IL,COOK,60637,41.787956,-87.604925,"5841 SOUTH MARYLAND CHICAGO, IL",(773) 702-1000,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,4,5,0.75,Y,5,0.75,4,https://www.uchicagomedicine.org/
UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR ST,CHICAGO,IL,COOK,60612,41.869224,-87.670529,"1740 WEST TAYLOR ST SUITE 1400 CHICAGO, IL",(312) 996-3900,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,C,3,1.05,0,0,0,N,0,0,1,https://hospital.uillinois.edu/
VALLEY WEST COMMUNITY HOSPITAL,1301 NORTH MAIN STREET,SANDWICH,IL,DE KALB,60548,41.657133,-88.62192,"1301 NORTH MAIN STREET SANDWICH, IL",(815) 786-8484,Same as the national average,,,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,4,1.4,Hospital does not participate,FALSE,0,0,0,0,N,0,0,1,https://www.nm.org/locations/valley-west-hospital
VISTA MEDICAL CENTER EAST,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,LAKE,60085,42.378264,-87.830964,"1324 NORTH SHERIDAN ROAD WAUKEGAN, IL",(847) 360-3000,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,2,0.7,C,3,1.05,0,0,0,N,0,0,2,http://www.vistahealth.com/vista-health-system/vista-medical-center-east.aspx
WEST SUBURBAN MEDICAL CENTER,3 ERIE COURT,OAK PARK,IL,COOK,60302,41.89184,-87.777471,"3 ERIE COURT OAK PARK, IL",(708) 383-6200,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,1,0.35,B,4,1.4,0,0,0,N,0,0,2,https://www.westsuburbanmc.com/
WESTLAKE COMMUNITY HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,COOK,60160,41.891794,-87.848963,"1225 LAKE ST MELROSE PARK, IL",(708) 938-4000,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Yes,2,0.7,B,4,1.4,0,0,0,N,0,0,2,https://www.westlakehosp.com/
